# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
957952 1616.544 126905243463.787 116512477398.103 117166407406.438
958208 1616.976 125637143039.07 125637143039.07 125637143039.07
958464 1617.408 129026401264.328 128420446155.36 128420446155.36
958720 1617.84 126905243463.787 116512477398.103 117166407406.438
958976 1618.272 125637143039.07 125637143039.07 125637143039.07
959232 1618.704 129026401264.328 128420446155.36 128420446155.36
959488 1619.136 126905243463.787 116512477398.103 117166407406.438
959744 1619.568 124170261500.861 118544836674.117 118544836674.117
960000 1620 129026401264.328 116716405377.024 1.58938206924284e+300
960256 1620.432 120693629163.84 116512477398.103 117166407406.438
960512 1620.864 118544836674.117 118544836674.117 118544836674.117
960768 1621.296 122517051277.258 104988098144.539 1.58938206924284e+300
961024 1621.728 120693629163.84 105796213727.572 117166407406.438
961280 1622.16 118216106006.12 105697246268.458 114759860560.413
961536 1622.592 118760950863.545 104988098144.539 109362602234.056
961792 1623.024 111585810082.092 105796213727.572 102071762085.071
962048 1623.456 106291051022.767 105697246268.458 102071762085.121
962304 1623.888 118760950863.545 104988098144.539 101043701171.979
962560 1624.32 111585810082.092 105796213727.572 102071762085.071
962816 1624.752 106291051022.767 105697246268.458 102071762085.121
963072 1625.184 118760950863.545 104988098144.539 101043701171.979
963328 1625.616 111585810082.092 105796213727.572 102071762085.071
963584 1626.048 106291051022.767 105697246268.458 102071762085.121
963840 1626.48 118760950863.545 104988098144.539 101043701171.979
964096 1626.912 111585810082.092 105796213727.572 102071762085.071
964352 1627.344 106291051022.767 105697246268.458 102071762085.121
964608 1627.776 118760950863.545 104988098144.539 1.58938206924284e+300
964864 1628.208 111585810082.092 105796213727.572 102071762085.071
965120 1628.64 106291051022.767 105697246268.458 102071762085.121
965376 1629.072 118760950863.545 104988098144.539 101043701171.979
965632 1629.504 111585810082.092 105796213727.572 102071762085.071
965888 1629.936 106291051022.767 105697246268.458 102071762085.121
966144 1630.368 118760950863.545 104988098144.539 101043701171.979
966400 1630.8 111585810082.092 105796213727.572 102071762085.071
966656 1631.232 106291051022.767 105697246268.458 102071762085.121
966912 1631.664 118760950863.545 104988098144.539 101043701171.979
967168 1632.096 111585810082.092 105796213727.572 102071762085.071
967424 1632.528 106291051022.767 105697246268.458 102071762085.121
967680 1632.96 118760950863.545 104988098144.539 101043701171.979
967936 1633.392 111585810082.092 105796213727.572 102071762085.071
968192 1633.824 106291051022.767 105697246268.458 102071762085.121
968448 1634.256 118760950863.545 104988098144.539 101043701171.979
968704 1634.688 111585810082.092 105796213727.572 102071762085.071
968960 1635.12 106291051022.767 105697246268.458 102071762085.121
969216 1635.552 118760950863.545 104988098144.539 101043701171.979
969472 1635.984 111585810082.092 105796213727.572 102071762085.071
969728 1636.416 106291051022.767 105697246268.458 102071762085.121
969984 1636.848 118760950863.545 104988098144.539 101043701171.979
970240 1637.28 111585810082.092 105796213727.572 102071762085.071
970496 1637.712 106291051022.767 105697246268.458 102071762085.121
970752 1638.144 118760950863.545 104988098144.539 101043701171.979
971008 1638.576 111585810082.092 105796213727.572 102071762085.071
971264 1639.008 106291051022.767 105697246268.458 102071762085.121
971520 1639.44 118760950863.545 104988098144.539 101043701171.979
971776 1639.872 111585810082.092 105796213727.572 102071762085.071
972032 1640.304 106291051022.767 105697246268.458 102071762085.121
972288 1640.736 118760950863.545 104988098144.539 101043701171.979
972544 1641.168 111585810082.092 105796213727.572 102071762085.071
972800 1641.6 106291051022.767 105697246268.458 102071762085.121
973056 1642.032 118760950863.545 104988098144.539 101043701171.979
973312 1642.464 111585810082.092 105796213727.572 102071762085.071
973568 1642.896 106291051022.767 105697246268.458 102071762085.121
973824 1643.328 118760950863.545 104988098144.539 101043701171.979
974080 1643.76 111585810082.092 105796213727.572 102071762085.071
974336 1644.192 106291051022.767 105697246268.458 102071762085.121
974592 1644.624 118760950863.545 104988098144.539 101043701171.979
974848 1645.056 111585810082.092 105796213727.572 102071762085.071
975104 1645.488 106291051022.767 105697246268.458 102071762085.121
975360 1645.92 118760950863.545 104988098144.539 101043701171.979
975616 1646.352 111585810082.092 105796213727.572 102071762085.071
975872 1646.784 106291051022.767 105697246268.458 102071762085.121
976128 1647.216 118760950863.545 104988098144.539 101043701171.979
976384 1647.648 111585810082.092 105796213727.572 102071762085.071
976640 1648.08 106291051022.767 105697246268.458 102071762085.121
976896 1648.512 118760950863.545 104988098144.539 101043701171.979
977152 1648.944 111585810082.092 105796213727.572 102071762085.071
977408 1649.376 106291051022.767 105697246268.458 102071762085.121
977664 1649.808 118760950863.545 104988098144.539 101043701171.979
977920 1650.24 111585810082.092 105796213727.572 102071762085.071
978176 1650.672 106291051022.767 105697246268.458 102071762085.121
978432 1651.104 118760950863.545 104988098144.539 101043701171.979
978688 1651.536 111585810082.092 105796213727.572 102071762085.071
978944 1651.968 106291051022.767 105697246268.458 102071762085.121
979200 1652.4 118760950863.545 104988098144.539 101043701171.979
979456 1652.832 111585810082.092 105796213727.572 102071762085.071
979712 1653.264 106291051022.767 105697246268.458 102071762085.121
979968 1653.696 118760950863.545 104988098144.539 101043701171.979
980224 1654.128 111585810082.092 105796213727.572 102071762085.071
980480 1654.56 106291051022.767 105697246268.458 102071762085.121
980736 1654.992 118760950863.545 104988098144.539 101043701171.979
980992 1655.424 111585810082.092 105796213727.572 102071762085.071
981248 1655.856 106291051022.767 105697246268.458 102071762085.121
981504 1656.288 118760950863.545 104988098144.539 101043701171.979
981760 1656.72 111585810082.092 105796213727.572 102071762085.071
982016 1657.152 106291051022.767 105697246268.458 102071762085.121
982272 1657.584 118760950863.545 104988098144.539 101043701171.979
982528 1658.016 111585810082.092 105796213727.572 102071762085.071
982784 1658.448 106291051022.767 105697246268.458 102071762085.121
983040 1658.88 118760950863.545 104988098144.539 101043701171.979
983296 1659.312 111585810082.092 105796213727.572 102071762085.071
983552 1659.744 106291051022.767 105697246268.458 102071762085.121
983808 1660.176 118760950863.545 104988098144.539 101043701171.979
984064 1660.608 111585810082.092 105796213727.572 102071762085.071
984320 1661.04 106291051022.767 105697246268.458 102071762085.121
984576 1661.472 118760950863.545 104988098144.539 101043701171.979
984832 1661.904 111585810082.092 105796213727.572 102071762085.071
985088 1662.336 106291051022.767 105697246268.458 102071762085.121
985344 1662.768 118760950863.545 104988098144.539 101043701171.979
985600 1663.2 111585810082.092 105796213727.572 102071762085.071
985856 1663.632 106291051022.767 105697246268.458 102071762085.121
986112 1664.064 118760950863.545 104988098144.539 101043701171.979
986368 1664.496 111585810082.092 105796213727.572 102071762085.071
986624 1664.928 106291051022.767 105697246268.458 102071762085.121
986880 1665.36 118760950863.545 104988098144.539 101043701171.979
987136 1665.792 111585810082.092 105796213727.572 102071762085.071
987392 1666.224 106291051022.767 105697246268.458 102071762085.121
987648 1666.656 118760950863.545 104988098144.539 101043701171.979
987904 1667.088 111585810082.092 105796213727.572 102071762085.071
988160 1667.52 106291051022.767 105697246268.458 102071762085.121
988416 1667.952 118760950863.545 104988098144.539 101043701171.979
988672 1668.384 111585810082.092 105796213727.572 102071762085.071
988928 1668.816 106291051022.767 105697246268.458 102071762085.121
989184 1669.248 118760950863.545 104988098144.539 101043701171.979
989440 1669.68 111585810082.092 105796213727.572 102071762085.071
989696 1670.112 106291051022.767 105697246268.458 102071762085.121
989952 1670.544 118760950863.545 104988098144.539 101043701171.979
990208 1670.976 111585810082.092 105796213727.572 102071762085.071
990464 1671.408 106291051022.767 105697246268.458 102071762085.121
990720 1671.84 118760950863.545 104988098144.539 101043701171.979
990976 1672.272 111585810082.092 105796213727.572 102071762085.071
991232 1672.704 106291051022.767 105697246268.458 102071762085.121
991488 1673.136 118760950863.545 104988098144.539 101043701171.979
991744 1673.568 111585810082.092 105796213727.572 102071762085.071
992000 1674 106291051022.767 105697246268.458 102071762085.121
992256 1674.432 118760950863.545 104988098144.539 101043701171.979
992512 1674.864 111585810082.092 105796213727.572 102071762085.071
992768 1675.296 106291051022.767 105697246268.458 102071762085.121
993024 1675.728 118760950863.545 104988098144.539 101043701171.979
993280 1676.16 111585810082.092 105796213727.572 102071762085.071
993536 1676.592 106291051022.767 105697246268.458 102071762085.121
993792 1677.024 118760950863.545 104988098144.539 101043701171.979
994048 1677.456 111585810082.092 105796213727.572 102071762085.071
994304 1677.888 106291051022.767 105697246268.458 102071762085.121
994560 1678.32 118760950863.545 104988098144.539 101043701171.979
994816 1678.752 111585810082.092 105796213727.572 102071762085.071
995072 1679.184 106291051022.767 105697246268.458 102071762085.121
995328 1679.616 118760950863.545 104988098144.539 101043701171.979
995584 1680.048 111585810082.092 105796213727.572 102071762085.071
995840 1680.48 106291051022.767 105697246268.458 102071762085.121
996096 1680.912 118760950863.545 104988098144.539 101043701171.979
996352 1681.344 111585810082.092 105796213727.572 102071762085.071
996608 1681.776 106291051022.767 105697246268.458 102071762085.121
996864 1682.208 118760950863.545 104988098144.539 101043701171.979
997120 1682.64 111585810082.092 105796213727.572 102071762085.071
997376 1683.072 106291051022.767 105697246268.458 102071762085.121
997632 1683.504 118760950863.545 104988098144.539 101043701171.979
997888 1683.936 111585810082.092 105796213727.572 102071762085.071
998144 1684.368 106291051022.767 105697246268.458 102071762085.121
998400 1684.8 118760950863.545 104988098144.539 101043701171.979
998656 1685.232 111585810082.092 105796213727.572 102071762085.071
998912 1685.664 106291051022.767 105697246268.458 102071762085.121
999168 1686.096 118760950863.545 104988098144.539 101043701171.979
999424 1686.528 111585810082.092 105796213727.572 102071762085.071
999680 1686.96 106291051022.767 105697246268.458 102071762085.121
999936 1687.392 118760950863.545 104988098144.539 101043701171.979
1000192 1687.824 111585810082.092 105796213727.572 102071762085.071
1000448 1688.256 106291051022.767 105697246268.458 102071762085.121
1000704 1688.688 118760950863.545 104988098144.539 101043701171.979
1000960 1689.12 111585810082.092 105796213727.572 102071762085.071
1001216 1689.552 106291051022.767 105697246268.458 102071762085.121
1001472 1689.984 118760950863.545 104988098144.539 101043701171.979
1001728 1690.416 111585810082.092 105796213727.572 102071762085.071
1001984 1690.848 106291051022.767 105697246268.458 102071762085.121
1002240 1691.28 118760950863.545 104988098144.539 101043701171.979
1002496 1691.712 111585810082.092 105796213727.572 102071762085.071
1002752 1692.144 106291051022.767 105697246268.458 102071762085.121
1003008 1692.576 118760950863.545 104988098144.539 101043701171.979
1003264 1693.008 111585810082.092 105796213727.572 102071762085.071
1003520 1693.44 106291051022.767 105697246268.458 102071762085.121
1003776 1693.872 118760950863.545 104988098144.539 101043701171.979
1004032 1694.304 111585810082.092 105796213727.572 102071762085.071
1004288 1694.736 106291051022.767 105697246268.458 102071762085.121
1004544 1695.168 118760950863.545 104988098144.539 101043701171.979
1004800 1695.6 111585810082.092 105796213727.572 102071762085.071
1005056 1696.032 106291051022.767 105697246268.458 102071762085.121
