# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
971264 1639.008 5459208.04038302
971520 1639.44 4935580.48907076
971776 1639.872 5422023.34799639
972032 1640.304 5459208.0593497
972288 1640.736 4935580.48962701
972544 1641.168 5422023.34843247
972800 1641.6 5459209.15233445
973056 1642.032 4935581.02897395
973312 1642.464 5422023.34903618
973568 1642.896 5459285.00523896
973824 1643.328 4935618.64021488
974080 1643.76 5422023.3493373
974336 1644.192 5459285.40313785
974592 1644.624 4935631.54591115
974848 1645.056 5422023.34985987
975104 1645.488 5459285.00606831
975360 1645.92 4935618.64090015
975616 1646.352 5422023.3500901
975872 1646.784 5459285.00109744
976128 1647.216 4935618.46254508
976384 1647.648 5422023.3506494
976640 1648.08 5459209.15422789
976896 1648.512 4935580.49180755
977152 1648.944 5422023.35081109
977408 1649.376 5459208.06245913
977664 1649.808 4935580.49205632
977920 1650.24 5422023.35130583
978176 1650.672 5459208.0626821
978432 1651.104 4935580.49245149
978688 1651.536 5422023.35151874
978944 1651.968 5459208.06310237
979200 1652.4 4935580.49263787
979456 1652.832 5422023.35185289
979712 1653.264 5459208.06321503
979968 1653.696 4935581.03186939
980224 1654.128 5422023.35196742
980480 1654.56 5459209.15569338
980736 1654.992 4935581.03201071
980992 1655.424 5422023.35231248
981248 1655.856 5459209.1558845
981504 1656.288 4935581.03229678
981760 1656.72 5422023.35242035
982016 1657.152 5459209.15616291
982272 1657.584 4935581.03243437
982528 1658.016 5422023.35260694
982784 1658.448 5459209.1561986
983040 1658.88 4935580.49353244
983296 1659.312 5422023.35270599
983552 1659.744 5459208.06416942
983808 1660.176 4935580.49360257
984064 1660.608 5422023.35288027
984320 1661.04 5459208.06426733
984576 1661.472 4935580.49376388
984832 1661.904 5422023.35296024
985088 1662.336 5459208.06445225
985344 1662.768 4935580.49385827
985600 1663.2 5422023.3531134
985856 1663.632 5459208.0645018
986112 1664.064 4935580.49397614
986368 1664.496 5422023.35319366
986624 1664.928 5459208.06465163
986880 1665.36 4935580.49403853
987136 1665.792 5422023.35338347
987392 1666.224 5459208.06477373
987648 1666.656 4935580.49420705
987904 1667.088 5422023.35344732
988160 1667.52 5459208.06488816
988416 1667.952 4935580.49425238
988672 1668.384 5422023.35355102
988928 1668.816 5459208.06494242
989184 1669.248 4935580.49435262
989440 1669.68 5422023.35360701
989696 1670.112 5459208.06512705
989952 1670.544 4935580.49446834
990208 1670.976 5422023.35384779
990464 1671.408 5459208.06524148
990720 1671.84 4935580.4946006
990976 1672.272 5422023.35387942
991232 1672.704 5459208.06530814
991488 1673.136 4935580.49463206
991744 1673.568 5422023.35396261
992000 1674 5459208.06535709
992256 1674.432 4935580.49469392
992512 1674.864 5422023.35398194
992768 1675.296 5459208.06542965
993024 1675.728 4935580.49474192
993280 1676.16 5422023.35409936
993536 1676.592 5459208.06549453
993792 1677.024 4935580.49481552
994048 1677.456 5422023.35411577
994304 1677.888 5459208.06556118
994560 1678.32 4935580.49486084
994816 1678.752 5422023.35420632
995072 1679.184 5459208.06560247
995328 1679.616 4935580.4949307
995584 1680.048 5422023.35424205
995840 1680.48 5459208.06568682
996096 1680.912 4935580.49497443
996352 1681.344 5422023.3543311
996608 1681.776 5459208.06572811
996864 1682.208 4935580.49506562
997120 1682.64 5422023.35439027
997376 1683.072 5459208.0658101
997632 1683.504 4935580.49508588
997888 1683.936 5422023.35446292
998144 1684.368 5459208.06586083
998400 1684.8 4935580.49515841
998656 1685.232 5422023.35449221
998912 1685.664 5459208.06591215
999168 1686.096 4935580.49517814
999424 1686.528 5422023.3545256
999680 1686.96 5459208.06592395
999936 1687.392 4935580.49524907
1000192 1687.824 5422023.3545918
1000448 1688.256 5459208.06601832
1000704 1688.688 4935580.49527413
1000960 1689.12 5422023.35469667
1001216 1689.552 5459208.06609618
1001472 1689.984 4935580.49540265
1001728 1690.416 5422023.35476052
1001984 1690.848 5459208.06618289
1002240 1691.28 4935580.49542291
1002496 1691.712 5422023.35482321
1002752 1692.144 5459208.06622359
1003008 1692.576 4935580.49548957
1003264 1693.008 5422023.35485601
1003520 1693.44 5459208.06629084
1003776 1693.872 4935580.4955205
1004032 1694.304 5422023.354931
1004288 1694.736 5459208.06633213
1004544 1695.168 4935580.49559596
1004800 1695.6 5422023.35497289
1005056 1696.032 5459208.06639878
