# Scalar ASCII output created by CarpetIOScalar
# created on nid02976 by elihu on Apr 27 2017 at 05:38:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0005/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
# Run ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
335872 566.784 0 0 0
336128 567.216 0 0 0
336384 567.648 4.71514102722421e-15 3.91977334034662e-15 5.06846128990846e-15
336640 568.08 1.41362111634315e-13 6.95054082103556e-12 1.34971312989462e-11
336896 568.512 4.26607873627542e-11 4.13698576062532e-11 5.89770891511966e-11
337152 568.944 8.10979741617739e-11 9.56438178461954e-11 9.63748791479364e-11
337408 569.376 2.92448566074217e-11 8.01041256814289e-11 9.2419327580656e-11
337664 569.808 8.10406141931216e-11 9.92738306517957e-11 1.30175540691786e-10
337920 570.24 5.53078101571048e-10 1.6703808599905e-10 1.48348626389814e-10
338176 570.672 6.84986286919569e-10 8.04392190808694e-10 1.07060151761098e-10
338432 571.104 1.03716921073305e-10 1.07006670575646e-10 1.46076703636858e-10
338688 571.536 9.71149873722507e-10 2.13647784218433e-10 1.55418276604489e-10
338944 571.968 6.90745547370011e-10 8.22808323104356e-10 1.32585404852196e-10
339200 572.4 21.0503555024926 21.0503555024969 21.0503555025399
339456 572.832 42.1007110053945 42.1007110046287 42.1007110045853
339712 573.264 7.13155568077187e-10 9.01141900153169e-10 2.0052826407446e-10
339968 573.696 42.1007110040554 42.1007110041431 42.1007110041238
340224 574.128 42.1007110049199 42.1007110041449 42.1007110041405
340480 574.56 0.98228397688336 0.996785927350784 0.949269144844803
340736 574.992 327.568227809574 327.105097937538 327.350442237949
340992 575.424 813.7993575959 695.031036029265 716.861749625502
341248 575.856 815.061122631081 653.934477259103 702.439768866072
341504 576.288 974.251847466838 879.085669655646 879.708794306119
341760 576.72 8953.84784911584 8690.92456257041 8753.34634587166
342016 577.152 11300.6523126594 10953.2072742643 11727.4271076529
342272 577.584 4410.97104148704 4230.97766800718 4246.4716042806
342528 578.016 16295.0643657379 16041.7941769757 16124.3288037857
342784 578.448 21309.558199116 20854.4992309621 22324.8605165
343040 578.88 5415.417942601 5050.76689146487 5065.26931042878
343296 579.312 16768.9616257134 16436.9928007315 16516.7416102694
