# Scalar ASCII output created by CarpetIOScalar
# created on nid02976 by elihu on Apr 27 2017 at 05:38:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0005/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
# Run ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
335872 566.784 0
336128 567.216 0
336384 567.648 2.13075965725934e-09
336640 568.08 2.06656994005922e-08
336896 568.512 5.87742428501139e-06
337152 568.944 8.9257238640436e-06
337408 569.376 3.65654715813605e-06
337664 569.808 8.02346367547211e-06
337920 570.24 1.11768824529061e-05
338176 570.672 3.44614396450154e-06
338432 571.104 8.00040330356959e-06
338688 571.536 9.70666007382049e-06
338944 571.968 3.03873467517243e-06
339200 572.4 1268106.3998914
339456 572.832 1879433.45901452
339712 573.264 1.70805957966675e-05
339968 573.696 1793392.63554393
340224 574.128 1879433.45900396
340480 574.56 268768.898621034
340736 574.992 3017269.94646859
340992 575.424 8557181.36539516
341248 575.856 9566602.25577337
341504 576.288 5751285.5944284
341760 576.72 26667182.0009541
342016 577.152 31436087.1401346
342272 577.584 15108639.3306305
342528 578.016 35723397.219983
342784 578.448 42823434.9980181
343040 578.88 17247629.0315019
343296 579.312 36150561.0469339
343552 579.744 47516433.9972545
343808 580.176 28449208.7191509
344064 580.608 35020622.3896874
344320 581.04 49039165.1210667
344576 581.472 34736309.316298
344832 581.904 35435660.1473706
345088 582.336 49032578.9071826
345344 582.768 40545808.4330422
345600 583.2 41855064.6121681
345856 583.632 49309419.2768001
346112 584.064 40651478.4300968
346368 584.496 47329227.2955453
346624 584.928 49936147.538636
346880 585.36 45862136.402257
347136 585.792 51479123.3749643
347392 586.224 55290878.6470582
347648 586.656 46137519.1428135
347904 587.088 51127805.4395757
348160 587.52 60018035.6167399
348416 587.952 46574214.0842968
348672 588.384 54955924.6437577
348928 588.816 59949426.6146055
349184 589.248 48808565.953341
349440 589.68 57483247.2694856
349696 590.112 59667824.7717829
349952 590.544 48740092.3615078
350208 590.976 60313735.7104018
350464 591.408 59824681.9903863
350720 591.84 50810182.5085107
350976 592.272 59754281.0469205
351232 592.704 59289325.9325431
351488 593.136 50752853.6589367
351744 593.568 59752072.6892785
352000 594 58677354.7345104
352256 594.432 49981176.5128572
352512 594.864 59250000.1780495
352768 595.296 58077242.6587695
353024 595.728 49793563.1107823
353280 596.16 59140746.803902
353536 596.592 57504594.0152545
353792 597.024 49286100.435788
354048 597.456 58480364.6480684
354304 597.888 57301429.9535005
354560 598.32 48792877.8103072
354816 598.752 57759442.3152338
355072 599.184 56671719.4118128
355328 599.616 48629309.7441944
355584 600.048 57668765.1962954
355840 600.48 55998249.4503484
356096 600.912 47940752.2832493
356352 601.344 56899288.1485162
356608 601.776 55804094.2577469
356864 602.208 47355794.5172458
357120 602.64 56102455.2446779
357376 603.072 55150879.2440027
357632 603.504 47211282.5762931
357888 603.936 55256573.1870262
358144 604.368 54445425.7582366
358400 604.8 46601168.6157763
358656 605.232 55156018.4957058
358912 605.664 53927266.8401676
359168 606.096 45941942.1019363
359424 606.528 54355550.6917558
359680 606.96 53527367.7946759
359936 607.392 45194216.051831
360192 607.824 53561478.1286855
360448 608.256 52993101.109997
360704 608.688 44573106.8882977
360960 609.12 52796773.0635034
361216 609.552 52393525.0125161
361472 609.984 44462317.3257985
361728 610.416 52047895.3419306
361984 610.848 51798438.2673015
362240 611.28 43779997.7185959
362496 611.712 52276595.0318507
362752 612.144 51179435.1054192
363008 612.576 43185062.9353296
363264 613.008 51415101.3399126
363520 613.44 50526717.218633
363776 613.872 42472668.5727323
364032 614.304 50601484.9949726
364288 614.736 50431388.946516
364544 615.168 41887093.8806247
364800 615.6 49735075.5861455
365056 616.032 49824917.1954428
365312 616.464 41833807.792669
365568 616.896 50129437.0624453
365824 617.328 50142428.1511318
366080 617.76 42109942.4841353
