# Scalar ASCII output created by CarpetIOScalar
# created on nid04318 by elihu on Apr 27 2017 at 17:25:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0006/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
# Run ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
403456 680.832 0
403712 681.264 0
403968 681.696 1.0604882006496e-10
404224 682.128 1.06584565142268e-06
404480 682.56 1.61424399532177e-06
404736 682.992 1.68764442646256e-06
404992 683.424 1.99034830989459e-06
405248 683.856 2.13576008713367e-06
405504 684.288 2.18948545453568e-06
405760 684.72 2.55992819480678e-06
406016 685.152 2.25854884700929e-06
406272 685.584 2.4861361412562e-06
406528 686.016 3.19557923520502e-06
406784 686.448 792364.251386689
407040 686.88 2.97031332521864e-06
407296 687.312 105393.6986747
407552 687.744 1133048.50417965
407808 688.176 2215294.91887678
408064 688.608 3750281.61953217
408320 689.04 15465493.3866083
408576 689.472 18311732.5498296
408832 689.904 7273990.66214173
409088 690.336 15638339.1263518
409344 690.768 19172154.1030467
409600 691.2 9355477.64580603
409856 691.632 22068159.5761863
410112 692.064 25764561.6785838
410368 692.496 9806315.40725278
410624 692.928 28487193.0933823
410880 693.36 32776320.6851848
411136 693.792 10091417.5373723
411392 694.224 28639192.9167074
411648 694.656 32900866.7649012
411904 695.088 10512261.6215937
412160 695.52 35220936.886601
412416 695.952 40171296.0062636
412672 696.384 11202106.802663
412928 696.816 36299295.9405006
413184 697.248 45933778.7207763
413440 697.68 26476842.3435323
413696 698.112 37304098.1350936
413952 698.544 46271764.8466231
414208 698.976 27217533.6214734
414464 699.408 43910223.6130806
414720 699.84 55333452.1911577
414976 700.272 35680104.4973543
415232 700.704 43952749.1154955
