# Scalar ASCII output created by CarpetIOScalar
# created on nid04318 by elihu on Apr 27 2017 at 17:25:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0006/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
# Run ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
403456 680.832 0 0 0
403712 681.264 0 0 0
403968 681.696 7.20935611250009e-11 1.45276697433476e-10 1.07501753383224e-07
404224 682.128 9.46365787090888e-07 9.46221535187685e-07 9.45982858352989e-07
404480 682.56 1.49957869260843e-06 1.56790408672824e-06 1.55605788311508e-06
404736 682.992 1.5590181441278e-06 1.57564593559771e-06 1.64822962248289e-06
404992 683.424 1.90165857450152e-06 1.91202321316876e-06 2.06559960021583e-06
405248 683.856 2.2268809436477e-06 2.1135732969315e-06 2.07462168091772e-06
405504 684.288 2.1111214595922e-06 2.04552761045794e-06 2.1750622541889e-06
405760 684.72 2.54981039333887e-06 2.50353945339583e-06 2.70598040628945e-06
406016 685.152 2.38314847714434e-06 2.28617369949567e-06 2.46989617077669e-06
406272 685.584 2.42217810750296e-06 2.30042771455221e-06 2.44140436393264e-06
406528 686.016 3.06939931585373e-06 3.0378324686216e-06 3.15102868068221e-06
406784 686.448 2.97498366811679e-06 2.818727649956e-06 2.75631925747574e-06
407040 686.88 2.85231793372148e-06 2.7261196964205e-06 2.83457378418339e-06
407296 687.312 105393.698674614 105393.69867463 105393.698674627
407552 687.744 167701.575825181 167680.347811429 167680.347811381
407808 688.176 2215294.9188768 2215294.91887681 2215294.9188768
408064 688.608 3750281.61953217 3750281.61953219 3750281.61953218
408320 689.04 15424844.1715442 15424843.7099841 6717042.82016328
408576 689.472 18311732.5498296 17526799.1886477 8539092.43475011
408832 689.904 7273990.66214175 7273990.66214176 6050230.80458573
409088 690.336 15597671.3730979 15597670.9166521 7269474.4849555
409344 690.768 19172154.1030468 18412228.397514 9302535.53382946
409600 691.2 9355477.64580605 9359205.9249691 7508290.88659368
409856 691.632 22039359.534986 22039359.2119507 10583818.9129064
410112 692.064 25765113.6005682 24730237.6044322 12164826.6429758
410368 692.496 9806280.67044352 9796032.40725207 8326024.82750377
410624 692.928 28464850.2771143 28459526.7071057 19925481.1776184
410880 693.36 32776842.560897 31969418.4169861 22481552.7475606
411136 693.792 10103465.7610067 10013230.8193047 8683767.16993791
411392 694.224 28621259.2514962 28618432.1635765 20164976.2431268
411648 694.656 32901358.6949186 32096865.99746 22668361.6811477
411904 695.088 10531950.6763559 10378099.3227146 9067980.90864191
412160 695.52 35208198.9963974 35206384.7933146 27970897.9834667
412416 695.952 40165248.3261285 39526968.4626191 31464472.3816634
412672 696.384 11208359.3164778 11224617.1289148 9977575.04445437
412928 696.816 36266955.888433 36267966.2349161 29352266.200136
413184 697.248 44217550.5219092 43708821.6336477 36594613.0239706
413440 697.68 22507013.2592763 22514461.6821617 21922107.9631206
413696 698.112 37319976.8636839 37323013.6254088 30648587.9047179
413952 698.544 44611161.9409186 44123413.5748964 37088479.7840583
414208 698.976 23372679.8499338 23379000.858946 22834709.9609697
414464 699.408 41836674.8097272 41839824.5063643 35259359.6886939
414720 699.84 50812983.7583889 50331085.9022913 43710816.9510106
414976 700.272 29708651.2878984 29763310.8884297 29314129.8685094
415232 700.704 41880563.0818077 41883721.2232838 35360136.3460176
415488 701.136 52339773.5058299 51902685.3108932 45610830.7647956
415744 701.568 31280409.0442183 31328188.0357205 30943284.9346586
416000 702 46302418.389577 46305682.9120929 39919503.368179
416256 702.432 55998448.0105742 55464545.5782189 49186717.4515711
416512 702.864 31750375.7113119 31795668.3956769 31409904.3405431
416768 703.296 46425606.7546957 46427851.9720858 40024820.3203875
417024 703.728 56300436.051214 55769247.2797613 49535414.7561149
417280 704.16 32226975.7248747 32263543.9844384 31879784.323429
417536 704.592 46471477.6602314 46472646.965723 -nan
417792 705.024 57211214.5949885 56662283.8494471 -nan
418048 705.456 33722587.8865007 33725132.6622929 33345519.4785628
418304 705.888 46217716.6731057 46218237.0220735 inf
418560 706.32 57263747.3706265 56713669.7254583 inf
418816 706.752 33879162.5562121 33881040.3402163 33482491.0683625
419072 707.184 46374628.6670172 46372511.4275686 inf
419328 707.616 57262336.4271219 56711732.3550257 inf
419584 708.048 33956772.3401144 33951117.4858748 33548410.537478
419840 708.48 46168336.0218807 46157606.6504158 inf
420096 708.912 56974314.891917 56411822.1686511 inf
420352 709.344 33958164.4823775 33948860.7815164 33414130.7869701
420608 709.776 46329679.366854 46322113.7558836 inf
420864 710.208 56957388.1273731 56393789.0872036 inf
421120 710.64 34034412.9055793 34025849.669718 33352750.0502605
421376 711.072 46298402.9150499 46293934.819894 40047138.4044764
421632 711.504 56644631.0296446 56072635.701101 49928402.1205926
421888 711.936 33829836.9611358 33822651.8068244 33080900.6798044
422144 712.368 45979185.8107928 45976638.3609695 39729036.8450565
422400 712.8 56533423.3785055 55960472.3120225 49834322.5919561
422656 713.232 33421030.8391001 33412496.2331506 32982887.9267879
422912 713.664 45967486.8019828 45968657.910449 39754777.9047567
423168 714.096 56396288.2405347 55822390.6725563 49759150.6454986
423424 714.528 33189283.0572049 33179799.7696517 32786945.6596286
423680 714.96 45637809.074018 45642661.3262489 39478287.6146578
423936 715.392 56000802.7285022 55466438.6768811 49402882.5008213
424192 715.824 33083948.9959403 33073363.0099019 32685625.0282441
