# 0D ASCII output created by CarpetIOASCII
# created on nid03168 by elihu on Jul 11 2017 at 15:59:33-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0018/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
# Run ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
#
# CARPET::TIMING (carpet-timing)
#
# column format: 1:it	2:time	3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels
1235968	2085.696	13.9341571321244 17.6266090945454 131.999632120132 109.866709947586 125.107237175995 0 6.89239494413757 120 45887.0336327875 2883597.20942843 5740800 360758880 34415.2752245906 2647236.7824261 4305600 331188480 0.290174898015838 2821957060.59234 31898.4912765341 2821925162.10107 2 19450042577 219857 19449822720 0 0 0 0 173.442706823349
1236224	2086.128	13.0601672794141 14.6924798123947 258.431580066681 236.298657894135 251.485196247452 0 6.94638381922913 247 56244.2012931937 3558716.28769508 14144584 894964464 42504.5456333031 3084824.21858603 10689264 775787624 1.87147735257777 2800025358.54094 32840.6845830347 2799992517.85635 13 19450050844 228124 19449822720 0 0 0 0 298.80273771286
1236480	2086.56	12.1280320758693 13.7144770642025 404.824851989746 382.6919298172 397.540303634094 0 7.28454835565186 374 56719.7031190932 3595031.83686111 22548368 1429170048 42946.4078080353 3069844.13113311 17072928 1220386768 3.5691986284678 2670071790.5056 60999.1146060884 2670010791.391 26 19450267071 444351 19449822720 0 0 0 0 422.403742551804
1236736	2086.992	12.1634817646895 13.2037426717104 531.567648172379 509.434725999832 523.996928582077 0 7.57071959030151 501 59069.3386004299 3746922.02359439 30952152 1963375632 44764.7509375159 3177472.65524134 23456592 1664985912 4.88725009012339 2569143882.95623 58806.1669290104 2569085076.7893 37 19450267925 445205 19449822720 0 0 0 0 549.044946670532
1236992	2087.424	11.8439587545912 12.8853035369667 676.618484020233 654.485561847687 668.71858150296 0 7.89990251727295 628 58852.7627145437 3734876.35170333 39355936 2497581216 44623.0399833265 3154667.91913971 29840256 2109585056 6.32919202365804 2462117017.95965 83761.5399118143 2462033256.41974 50 19450484428 661708 19449822720 0 0 0 0 672.595637083054
1237248	2087.856	11.9174011602619 12.6382059318312 803.083389043808 780.950466871262 794.951924438019 0 8.13146460578918 755 60078.7526035152 3813798.9314804 47759720 3031786800 45567.4348176565 3213004.61258163 36223920 2554184200 7.50172360789361 2392002700.61463 81483.1069335627 2391921217.5077 61 19450485297 662577 19449822720 0 0 0 0 797.874767303467
1237504	2088.288	11.7267729840638 12.4325309419476 948.397975206375 926.265053033829 939.938958663498 0 8.4590165428772 882 59752.2886803831 3793855.2829755 56163504 3565992384 45330.1606527554 3190402.22384651 42607584 2998783344 8.74806186096311 2299404596.1972 103888.909017441 2299300707.28818 74 19450701518 878798 19449822720 0 0 0 0 921.601953744888
1237760	2088.72	11.7959155511832 12.264857988649 1074.81085515022 1052.67793297768 1066.11116556676 0 8.69968958346558 1009 60563.3728314582 3845938.49162089 64567288 4100197968 45953.2266261893 3229853.13278232 48991248 3443382488 9.77046355326849 2235792691.15159 101114.642259406 2235691576.50933 85 19450702386 879666 19449822720 0 0 0 0 1047.0127120018
1238016	2089.152	11.6602529131546 12.1273939938512 1220.4345459938 1198.30162382126 1211.41218040952 0 9.02236558428956 1136 60236.3697344799 3825620.73169295 72971072 4634403552 45711.0411266301 3209462.22505842 55374912 3887981632 10.8618963712405 2155855750.16706 121476.456452668 2155734273.7106 98 19450918725 1096005 19449822720 0 0 0 0 1170.61329913139
1238272	2089.584	11.7218947482283 12.0131053595552 1346.80784320831 1324.67492103577 1337.54255157169 0 9.2652916366272 1263 60839.0782815695 3864257.72393304 81374856 5168609136 46173.1672965696 3239209.67666336 61758576 4332580776 11.7643355735404 2099331608.4199 118385.264384326 2099213223.15551 109 19450919594 1096874 19449822720 0 0 0 0 1296.3746201992
