# Scalar ASCII output created by CarpetIOScalar
# created on nid27054 by elihu on Apr 25 2017 at 18:46:25-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0002/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid27054-elihu-2017.04.25-23.44.34-571
# Run ID: run-J0040_N40-nid27054-elihu-2017.04.25-23.44.34-571
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
134144 226.368 0 0 0
134400 226.8 0 0 0
134656 227.232 1.14659533033333e-07 0 2.64529925378551e-08
134912 227.664 1.53264657425125e-07 5.35790025642594e-07 6.31393859543489e-07
135168 228.096 1.10981009488383e-06 1.28632527620686e-06 1.51254149123246e-06
135424 228.528 1.91008053179757e-06 1.71646412549133e-06 1.70296296397676e-06
135680 228.96 1.74694227951698e-06 1.66378284101398e-06 1.7360742032043e-06
135936 229.392 3414974.11851036 2.10382487762764e-06 2.16697231150104e-06
136192 229.824 6464441.67413507 2.12506598258554e-06 2.20763164276694e-06
136448 230.256 6027724.51380665 6027724.51380665 6027724.51380665
136704 230.688 7723830.60890679 6027724.55952676 6027724.51382163
136960 231.12 6544976.68612372 3.41586352158726e-06 3.19996774868942e-06
137216 231.552 6146624.9742035 6035224.42001401 6027724.51386331
137472 231.984 9797500.80841737 8524489.79007267 8524489.75775426
137728 232.416 8214848.68456825 4901763.92299298 4901763.92299298
137984 232.848 9559249.88130714 9493141.18042132 9488717.55735658
138240 233.28 9485339.41752643 8124559.79590011 8124559.76199084
138496 233.712 25906472.7868425 25041879.4328317 25029502.5119905
138752 234.144 29794502.7011863 29832230.3039858 29744462.4110632
139008 234.576 11384604.6039639 10446120.1477716 10209010.3942858
139264 235.008 25960719.8899033 25101233.642839 25075495.0530707
139520 235.44 43683019.1509078 45360945.0761558 45956307.5618408
139776 235.872 20428240.2091392 24143203.3782728 23929935.2272268
140032 236.304 35465204.6794689 34842869.1251553 34824331.4269893
140288 236.736 52068354.2686024 54860328.2523173 55854132.1943366
140544 237.168 34490271.9970022 39308138.2639616 39010094.6633915
140800 237.6 35399826.0586125 34780994.6771764 34762425.9689964
141056 238.032 51558986.1877607 54373653.1319531 55308223.0397724
141312 238.464 41581070.9980352 45647389.3446105 45390989.2582889
141568 238.896 35753633.2612748 35142908.6949606 35124531.253761
141824 239.328 56508689.0793095 59099425.8521043 59958585.735363
142080 239.76 41832473.7423165 45882168.4423987 45627086.1478492
142336 240.192 35990727.3737467 35395926.4536658 35377673.4908392
142592 240.624 58186359.5158239 60717107.6015199 60293384.0084463
142848 241.056 45774581.2776685 49504884.8524099 47221715.1680868
143104 241.488 36588276.1972222 36009791.1259336 35881336.638263
143360 241.92 58392614.7809679 60915622.5700161 60484161.6076081
143616 242.352 55077377.9631759 58215947.7292154 54540717.3057323
143872 242.784 44629400.9069726 43886602.7764566 43670676.9738407
144128 243.216 60844928.4582187 63393445.5453405 61763489.9266577
144384 243.648 54692107.3220128 57800390.5471155 54079691.0358554
144640 244.08 51345977.3847437 51585094.6259167 51632317.5315157
144896 244.512 61062449.404689 65081899.837312 63580214.4067609
145152 244.944 59441830.910757 62476323.9139874 59026842.8896675
145408 245.376 51640063.38294 51657995.7370809 51927536.9034204
145664 245.808 61313161.9474842 65299021.2368661 63978248.6206365
145920 246.24 58991907.9969496 62135270.1202725 58635795.7302365
146176 246.672 51908051.8194121 53193044.2268541 53462322.0128037
146432 247.104 61393362.8813599 66631783.060457 65288730.0376417
146688 247.536 58975861.1202824 62132011.9099638 58678441.535934
146944 247.968 51981042.1250186 53299956.6080112 53598443.8625089
147200 248.4 62516389.0535703 67640101.3818917 66267055.6874291
147456 248.832 60815615.7539452 63768259.5484454 60400863.6938218
147712 249.264 51867542.1704132 52987115.7479609 53320737.4468331
147968 249.696 62482360.9879841 67604858.8514484 66232870.6257764
148224 250.128 60922531.8247617 63788230.1108146 60438986.1094054
148480 250.56 52179219.9327185 53115400.1144682 53459670.3480889
148736 250.992 63540059.8414647 68588301.9953355 67186130.9278063
148992 251.424 62780486.1560859 65574006.047228 62301416.9287566
149248 251.856 51727091.0250169 52682465.7914049 53039508.6073776
149504 252.288 63471776.499742 68559029.3403308 67171613.3323225
149760 252.72 63022538.3762726 65809456.3540403 62588918.5754772
150016 253.152 51556949.0390772 52603020.5082914 52953770.2551592
150272 253.584 62770255.8261135 68050037.118845 66857049.8956057
150528 254.016 62242024.1160642 65169207.795856 62109337.569572
150784 254.448 51774412.3533592 52814328.5770548 53185035.56013
151040 254.88 61918242.8319515 67308173.5748608 66103967.6128313
151296 255.312 61471093.9337694 64551470.6607463 61757312.5977367
151552 255.744 51207904.96464 52292028.7662479 52804957.8293866
