# Scalar ASCII output created by CarpetIOScalar
# created on nid03194 by elihu on Apr 26 2017 at 06:26:01-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0003/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03194-elihu-2017.04.26-11.23.42-32683
# Run ID: run-J0040_N40-nid03194-elihu-2017.04.26-11.23.42-32683
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
201728 340.416 0
201984 340.848 0
202240 341.28 0
202496 341.712 0.00269583917501389
202752 342.144 0.0977167715286396
203008 342.576 0.115548819682929
203264 343.008 0.109885583211384
203520 343.44 0.0977955526258748
203776 343.872 0.115548819682929
204032 344.304 0.109885583211384
204288 344.736 0.11554818540632
204544 345.168 0.115607943799665
204800 345.6 0.109882839029815
205056 346.032 0.11554818540632
205312 346.464 0.115607943799665
205568 346.896 0.109882839029815
205824 347.328 0.115548168966178
206080 347.76 0.115607943799665
206336 348.192 0.109894564270984
206592 348.624 0.109890411768191
206848 349.056 0.115607943799665
207104 349.488 0.109894564270984
207360 349.92 0.115616180985564
207616 350.352 93322753906.25
207872 350.784 93322753906.25
208128 351.216 0.115616180985564
208384 351.648 93322753906.25
208640 352.08 93322753906.25
208896 352.512 0.115616180985564
209152 352.944 93322753906.25
209408 353.376 93322753906.25
209664 353.808 93322753906.2526
209920 354.24 104988098144.55
210176 354.672 93322753906.25
210432 355.104 93322753906.2526
210688 355.536 104988098144.55
210944 355.968 93442082405.0903
211200 356.4 105122342705.653
211456 356.832 104988098144.55
211712 357.264 93442082405.0903
211968 357.696 104988098144.549
212224 358.128 104988098144.55
212480 358.56 93322753906.2536
212736 358.992 104988098144.549
212992 359.424 104988098144.55
213248 359.856 107791464688.632
213504 360.288 105122342705.727
213760 360.72 104988098144.55
214016 361.152 104988098144.513
214272 361.584 104988098144.549
214528 362.016 104988098144.55
214784 362.448 105122342705.653
215040 362.88 104988098144.549
215296 363.312 104988098144.55
215552 363.744 109502440318.457
215808 364.176 123190245358.352
216064 364.608 125050921864.811
216320 365.04 122166542959.465
216576 365.472 113296508789.149
216832 365.904 125050921864.811
217088 366.336 123190245358.273
217344 366.768 113296508789.149
217600 367.2 125050921864.811
217856 367.632 122166542959.465
218112 368.064 113296508789.149
218368 368.496 125050921864.811
218624 368.928 122166542959.465
218880 369.36 113296508789.148
219136 369.792 125050921864.811
219392 370.224 122166542959.465
219648 370.656 134515112217.316
219904 371.088 125050921864.811
220160 371.52 117895139133.265
220416 371.952 125028946513.809
220672 372.384 116280827671.319
220928 372.816 117895139133.265
221184 373.248 124917935114.431
221440 373.68 116280827671.319
221696 374.112 121955254837.573
221952 374.544 124917935114.431
222208 374.976 116280827671.319
222464 375.408 123190245358.273
222720 375.84 124917935114.431
222976 376.272 142431259155.283
223232 376.704 123190245358.306
223488 377.136 124917935114.431
223744 377.568 154643867017.737
