# Scalar ASCII output created by CarpetIOScalar
# created on nid03908 by elihu on Apr 26 2017 at 18:01:59-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0004/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
# Run ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
268800 453.6 0 0 0
269056 454.032 0 0 0
269312 454.464 4.83496236730413e-13 2.44285573905283e-13 4.45136539087332e-13
269568 454.896 1.13024690801519e-06 1.13675339384916e-06 8.93930735270032e-07
269824 455.328 1.81730406301596e-06 2.23169156218164e-06 2.14615730717202e-06
270080 455.76 1.60399999003847e-06 1.98252085509705e-06 2.08278297628012e-06
270336 456.192 1.98259440853964e-06 1.95694833091483e-06 1.67922005092386e-06
270592 456.624 2.22803149619751e-06 2.60218085576411e-06 2.54618079525903e-06
270848 457.056 1.97429558525935e-06 2.30920797673777e-06 2.38922237365273e-06
271104 457.488 1566155.43874513 2.74315169083561e-06 2.69798052362685e-06
271360 457.92 1566155.43874123 3.05479216056928e-06 3.2387937387668e-06
271616 458.352 2.79090944128411e-06 2.9627358007307e-06 3.20955089863723e-06
271872 458.784 4857329.93285426 4367041.01204393 4367041.01204393
272128 459.216 4633073.33074169 4367041.01204393 4367041.01204393
272384 459.648 1637640.37950984 1637640.37950984 1637640.37950984
272640 460.08 6531822.20188746 6175928.62664269 6175928.62664269
272896 460.512 6374379.64723951 6175928.62665136 6175928.62665136
273152 460.944 7762465.40770031 7730641.12408372 8169754.93425118
273408 461.376 7384448.84645008 7079408.07099969 6904898.11663
273664 461.808 6906668.83886046 6721514.28877635 6526902.71512063
273920 462.24 11007441.7372765 10985614.2921899 11447696.8600338
274176 462.672 7953572.22656165 7671195.80202803 7508717.25471062
274432 463.104 7488730.85291394 7322661.48614233 6962599.0457004
274688 463.536 11040874.9980749 11020293.9201972 11480520.6203822
274944 463.968 8224319.29573285 7958511.32396448 7642321.77090347
275200 464.4 12384723.0090002 12285430.6175199 12100429.9218192
275456 464.832 15462836.0344307 15448568.2309302 16102361.0780279
275712 465.264 8506231.94781167 8201481.00646233 7845341.0246754
275968 465.696 12601654.8272805 12432074.0916036 12228394.3252345
276224 466.128 15487832.8031235 15422868.9264914 16074884.3092317
276480 466.56 9088541.79559046 8758653.91624305 8211372.47171333
276736 466.992 16458424.4611601 16272349.3516139 16039054.3573693
276992 467.424 19259609.1333317 19156211.5256925 19975706.9579463
277248 467.856 9591768.85550474 9281468.94880461 8833361.20569608
277504 468.288 16826041.0348597 16669172.0843729 16371686.7535611
277760 468.72 28589706.1370561 28517361.8863212 29063332.2179555
278016 469.152 25713176.94281 25615144.9425517 25408150.1028902
278272 469.584 17084696.9313984 inf 16652935.9092771
278528 470.016 28259766.7133986 28186934.3760585 28699476.4229645
278784 470.448 26318008.9017218 26223443.1124165 25655162.0671578
279040 470.88 17984604.5461731 inf 17059123.426598
279296 471.312 35400217.3367644 35357773.0939115 35726585.2859627
279552 471.744 36096098.5799189 35969413.8040822 35255287.3283349
279808 472.176 19464731.9146198 -nan 17901053.683387
280064 472.608 35522777.8679967 -nan 35869677.8327482
280320 473.04 44679962.8733865 41262870.4209321 38623170.3438963
280576 473.472 34469324.4614274 -nan 25616457.3961513
280832 473.904 36024206.5981895 -nan 36366997.2951162
281088 474.336 44762890.6826706 41354117.29377 38724259.2449148
281344 474.768 34269782.4455776 -nan 25407018.5945619
281600 475.2 35639551.6312315 -nan 35962298.2223314
281856 475.632 51398045.4647437 45616558.8955617 41366205.0340369
282112 476.064 44208137.042317 -nan 30959387.5158354
282368 476.496 35961650.1834624 -nan 36318253.1772994
282624 476.928 51464080.4636076 45654504.2585947 41474315.0899768
282880 477.36 44268444.2462689 -nan 31103181.006154
283136 477.792 35990375.4767991 -nan 36381300.4027289
283392 478.224 51740163.8971625 45917971.0056381 41768581.6466018
283648 478.656 44181806.8555127 -nan 31016335.9276992
283904 479.088 35532343.1814818 -nan 35903936.041771
284160 479.52 51517871.5729767 45790280.3744528 41629636.1276457
284416 479.952 44384144.3938463 -nan 31275274.6768301
284672 480.384 35600568.3015273 -nan 35958363.7129534
284928 480.816 51449025.8096826 45711005.9355681 41557876.7781846
285184 481.248 44199436.2064079 -nan 30976779.9130707
