# Scalar ASCII output created by CarpetIOScalar
# created on nid03908 by elihu on Apr 26 2017 at 18:01:59-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0004/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
# Run ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
268800 453.6 0
269056 454.032 0
269312 454.464 0
269568 454.896 8.04400671081726e-12
269824 455.328 8.38075028823048e-11
270080 455.76 8.56806991317724e-11
270336 456.192 6.28537181958253e-11
270592 456.624 1.43356049624558e-10
270848 457.056 28.478651441178
271104 457.488 85.4359543233262
271360 457.92 64.0769657421295
271616 458.352 56.9573028818702
271872 458.784 611.948080390647
272128 459.216 563.292214715556
272384 459.648 243.382206051733
272640 460.08 1112.68275351297
272896 460.512 1067.24906945812
273152 460.944 2124.24730161523
273408 461.376 1267.02037284405
273664 461.808 1190.05995641479
273920 462.24 3886.53532222637
274176 462.672 1381.73689690521
274432 463.104 1412.58305384746
274688 463.536 3894.72464907439
274944 463.968 936.946577212041
275200 464.4 2203.86671024108
275456 464.832 5083.04096063849
275712 465.264 1060.47497001886
275968 465.696 2312.23242404935
276224 466.128 5091.1088856144
276480 466.56 1257.9922045207
276736 466.992 3797.56281938604
276992 467.424 6669.48419635375
277248 467.856 1408.45684351545
277504 468.288 3969.30540402059
277760 468.72 12565.7715489755
278016 469.152 8041.51082473328
278272 469.584 4196.99622878774
278528 470.016 12356.187642805
278784 470.448 8468.09550320452
279040 470.88 4712.72411588374
279296 471.312 18387.0182152327
279552 471.744 15837.4718687324
279808 472.176 5515.9152586682
280064 472.608 18511.4228637999
280320 473.04 24949.2700753992
280576 473.472 15917.2411021937
280832 473.904 19158.7365732611
281088 474.336 25065.3715319401
281344 474.768 15660.3585632983
281600 475.2 18975.8808746513
281856 475.632 33447.9068879424
282112 476.064 25679.4242578832
282368 476.496 19272.3748457166
282624 476.928 33577.5126103328
282880 477.36 25774.4433177678
283136 477.792 19321.2569728814
283392 478.224 34045.1835195391
283648 478.656 25622.4008312562
283904 479.088 18989.6823173695
284160 479.52 33815.5486440251
284416 479.952 25898.1115276616
284672 480.384 19092.4097118674
284928 480.816 33800.7111524216
285184 481.248 25869.2355733587
285440 481.68 18777.899353589
285696 482.112 33345.9021913402
285952 482.544 15638.0457063523
286208 482.976 16113.1921036988
286464 483.408 23614.2278800656
286720 483.84 15641.6759953911
286976 484.272 16341.6474388347
287232 484.704 23703.9583293496
287488 485.136 15747.9895556069
287744 485.568 16965.9876981361
288000 486 23721.0212631682
288256 486.432 15738.7368880276
288512 486.864 16971.6742012628
288768 487.296 23664.037541729
289024 487.728 15478.9865193177
289280 488.16 16718.8796931196
289536 488.592 23393.6515518177
289792 489.024 15405.8754410284
290048 489.456 16747.6619002253
290304 489.888 23315.9403810004
290560 490.32 15132.6100884126
290816 490.752 16507.9446939883
291072 491.184 23035.3029921094
291328 491.616 15048.7404418653
291584 492.048 16444.9441652833
291840 492.48 22948.5604895637
292096 492.912 14767.1652864475
292352 493.344 16227.3331444649
292608 493.776 22735.8744181641
292864 494.208 14659.6915532052
293120 494.64 16246.522148121
293376 495.072 22554.4736970094
293632 495.504 14516.2410759277
293888 495.936 16668.3858508892
294144 496.368 22322.6800834516
294400 496.8 14414.7428199967
