# Scalar ASCII output created by CarpetIOScalar
# created on nid03908 by elihu on Apr 26 2017 at 18:01:59-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0004/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
# Run ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
268800 453.6 0 0 0
269056 454.032 0 0 0
269312 454.464 3.78299125105282e-07 9.89123172142332e-08 1.98718942801745e-07
269568 454.896 0.0979157914385803 0.0979075635865642 0.0978945746578624
269824 455.328 0.109952792348897 0.11010845385915 0.108968456822389
270080 455.76 0.0973268416373102 0.0958639146114581 0.122406295969291
270336 456.192 0.115702735675748 0.115694016034833 0.115579720226781
270592 456.624 0.122408747268432 0.130030982815258 0.108968456822389
270848 457.056 0.0979202607757717 0.0979010652135025 0.122406295969291
271104 457.488 93322753906.25 0.115722716614538 0.115706557399436
271360 457.92 69992065429.7612 0.130030982815258 0.115578178185774
271616 458.352 0.115706462923548 0.115698176964117 0.122406295969291
271872 458.784 93322753906.25 93322753906.25 93322753906.25
272128 459.216 93322753906.25 93322753906.25 93322753906.25
272384 459.648 34996032714.8683 34996032714.8683 34996032714.8683
272640 460.08 93322753906.25 93322753906.25 93322753906.25
272896 460.512 93322753906.25 93322753906.25 93322753906.25
273152 460.944 93322753906.25 93322753906.25 93322753906.25
273408 461.376 93322753906.25 93322753906.25 93322753906.25
273664 461.808 93322753906.25 93322753906.25 93322753906.25
273920 462.24 104988098144.55 104988098144.55 93322753906.25
274176 462.672 93322753906.25 93322753906.25 93322753906.25
274432 463.104 93322753906.25 93322753906.25 93322753906.25
274688 463.536 104988098144.55 104988098144.55 93322753906.25
274944 463.968 93322753906.25 93322753906.25 93322753906.25
275200 464.4 104988098144.513 104988098144.513 102218627929.676
275456 464.832 104988098144.55 104988098144.55 104988098144.531
275712 465.264 93322753906.25 93322753906.2555 93322753906.25
275968 465.696 104988098144.513 104988098144.513 102218627929.676
276224 466.128 104988098144.55 104988098144.55 104988098144.531
276480 466.56 93322753906.2561 93322753906.2555 93322753906.2502
276736 466.992 104988098144.513 104988098144.513 102218627929.676
276992 467.424 104988098144.55 104988098144.55 104988098144.531
277248 467.856 93322753906.2561 93322753906.2555 93322753906.2502
277504 468.288 104988098144.513 104988098144.513 102218627929.676
277760 468.72 104988098144.55 104988098144.55 104988098144.531
278016 469.152 104988098144.535 104988098144.531 104988098144.531
278272 469.584 104988098144.513 2.05925459335544e+287 102218627929.676
278528 470.016 104988098144.55 104988098144.55 104988098144.531
278784 470.448 104988098144.535 104988098144.531 104988098144.531
279040 470.88 104988098144.513 2.05925459335544e+287 102218627929.676
279296 471.312 105122342705.724 105122342705.732 104988098144.531
279552 471.744 104988098144.535 104988098144.531 104988098144.531
279808 472.176 106372508086.072 2.05925459335544e+287 102218627929.676
280064 472.608 146582856774.337 104988098144.531 107446193695.139
280320 473.04 107791464688.389 106285806134.006 105122342705.653
280576 473.472 109502440318.46 1.21550639808552e+223 113329322477.412
280832 473.904 146582856774.337 104988098144.531 107446193695.139
281088 474.336 107791464688.389 106285806134.006 105122342705.653
281344 474.768 117842614650.721 1.21550639808552e+223 117842614650.726
281600 475.2 146582856774.337 109502440318.467 109502440318.462
281856 475.632 123190324807.206 123190245358.276 123190245358.27
282112 476.064 117842614650.721 3.26331413549407e+190 117842614650.726
282368 476.496 146582856774.337 109502440318.467 109502440318.462
282624 476.928 149808754824.315 123190245358.276 123190245358.27
282880 477.36 144785165786.744 3.78759922588262e+192 144785165786.741
283136 477.792 146582856774.337 109502440318.467 156774044036.757
283392 478.224 149826833113.157 123190245358.276 123190245358.27
283648 478.656 144785165786.744 2.05925459335544e+287 144785165786.741
283904 479.088 165430334687.175 136154174804.678 156774044036.757
284160 479.52 149826833113.157 153173446655.156 123032927513.116
284416 479.952 143532532500.103 2.05925459335544e+287 143539428710.937
284672 480.384 165430334687.175 136154174804.678 156774044036.743
284928 480.816 149826833113.157 153173446655.156 113426166353.734
285184 481.248 143532532500.103 117842614650.725 117842614650.726
285440 481.68 165430334687.175 114000843706.434 120455562682.829
285696 482.112 149808754824.315 113296508789.063 113296508789.064
285952 482.544 143532532500.103 117842614650.725 117842614650.726
