# Scalar ASCII output created by CarpetIOScalar
# created on nid03908 by elihu on Apr 26 2017 at 18:01:59-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0004/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
# Run ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
268800 453.6 0
269056 454.032 0
269312 454.464 0
269568 454.896 0.097736711572742
269824 455.328 0.108946676956014
270080 455.76 0.122409768214955
270336 456.192 0.115711831548484
270592 456.624 0.122409952023073
270848 457.056 93322753906.25
271104 457.488 93322753906.25
271360 457.92 104988098144.55
271616 458.352 93322753906.25
271872 458.784 93322753906.25
272128 459.216 104988098144.55
272384 459.648 93322753906.25
272640 460.08 93322753906.25
272896 460.512 104988098144.55
273152 460.944 93322753906.25
273408 461.376 93322753906.25
273664 461.808 104988098144.55
273920 462.24 104988098144.55
274176 462.672 93322753906.25
274432 463.104 104988098144.55
274688 463.536 104988098144.55
274944 463.968 93322753906.25
275200 464.4 104988098144.55
275456 464.832 104988098144.55
275712 465.264 93322753906.25
275968 465.696 106048583984.375
276224 466.128 104988098144.55
276480 466.56 93322753906.25
276736 466.992 106048583984.375
276992 467.424 104988098144.55
277248 467.856 93442082405.0903
277504 468.288 106048583984.375
277760 468.72 104988098144.55
278016 469.152 104988098144.531
278272 469.584 106048583984.375
278528 470.016 104988098144.55
278784 470.448 148782134056.104
279040 470.88 107908621430.541
279296 471.312 105122342705.725
279552 471.744 148782134056.104
279808 472.176 107908621430.541
280064 472.608 105092287063.679
280320 473.04 148782134056.104
280576 473.472 109502440318.457
280832 473.904 106862776431.844
281088 474.336 148782134056.104
281344 474.768 117842614650.726
281600 475.2 109502471895.005
281856 475.632 123190353490.042
282112 476.064 117842614650.726
282368 476.496 109502471895.005
282624 476.928 152181647448.72
282880 477.36 150398044614.121
283136 477.792 128749847412.154
283392 478.224 152181647448.72
283648 478.656 150398044614.121
283904 479.088 144785165786.744
284160 479.52 152181647448.72
284416 479.952 150398044614.121
284672 480.384 144785165786.744
284928 480.816 152181647448.72
285184 481.248 150398044614.121
285440 481.68 128749847412.154
285696 482.112 152181647448.72
285952 482.544 150398044614.121
286208 482.976 140523733802.255
286464 483.408 161075793905.647
286720 483.84 158014524329.151
286976 484.272 163865139526.999
287232 484.704 161075793905.647
287488 485.136 158014524329.151
287744 485.568 164340869007.054
288000 486 170847386380.668
288256 486.432 150398044614.121
288512 486.864 164340869007.054
288768 487.296 144804477691.652
289024 487.728 150398044614.121
289280 488.16 140391433005.141
289536 488.592 127810386841.286
289792 489.024 150398044614.121
290048 489.456 140391433005.141
290304 489.888 127810386841.286
290560 490.32 150398044614.121
290816 490.752 140391433005.141
291072 491.184 127810386841.286
291328 491.616 150398044614.121
291584 492.048 140391433005.141
291840 492.48 127810386841.286
292096 492.912 143020629882.812
292352 493.344 163865139526.999
292608 493.776 161075793905.647
292864 494.208 146821648348.104
293120 494.64 164340869007.054
293376 495.072 170847386380.668
293632 495.504 146821648348.104
293888 495.936 164340869007.054
294144 496.368 170847386380.668
294400 496.8 143020629882.812
294656 497.232 157109677791.667
294912 497.664 144804477691.628
295168 498.096 143020629882.812
295424 498.528 157109677791.667
295680 498.96 144804477691.628
295936 499.392 143020629882.812
296192 499.824 157109677791.667
