# 0D ASCII output created by CarpetIOASCII
# created on nid03168 by elihu on Jul 11 2017 at 04:20:21-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0017/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03168-elihu-2017.07.11-09.15.36-14306
# Run ID: run-J0040_N40-nid03168-elihu-2017.07.11-09.15.36-14306
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures-qlm_scalars)
#
# column format: 1:it	2:time	3:data
# data columns: 3:qlm_time[0] 4:qlm_time[1] 5:qlm_time[2] 6:qlm_equatorial_circumference[0] 7:qlm_equatorial_circumference[1] 8:qlm_equatorial_circumference[2] 9:qlm_polar_circumference_0[0] 10:qlm_polar_circumference_0[1] 11:qlm_polar_circumference_0[2] 12:qlm_polar_circumference_pi_2[0] 13:qlm_polar_circumference_pi_2[1] 14:qlm_polar_circumference_pi_2[2] 15:qlm_area[0] 16:qlm_area[1] 17:qlm_area[2] 18:qlm_irreducible_mass[0] 19:qlm_irreducible_mass[1] 20:qlm_irreducible_mass[2] 21:qlm_radius[0] 22:qlm_radius[1] 23:qlm_radius[2] 24:qlm_spin_guess[0] 25:qlm_spin_guess[1] 26:qlm_spin_guess[2] 27:qlm_mass_guess[0] 28:qlm_mass_guess[1] 29:qlm_mass_guess[2] 30:qlm_killing_eigenvalue_re[0] 31:qlm_killing_eigenvalue_re[1] 32:qlm_killing_eigenvalue_re[2] 33:qlm_killing_eigenvalue_im[0] 34:qlm_killing_eigenvalue_im[1] 35:qlm_killing_eigenvalue_im[2] 36:qlm_spin[0] 37:qlm_spin[1] 38:qlm_spin[2] 39:qlm_npspin[0] 40:qlm_npspin[1] 41:qlm_npspin[2] 42:qlm_wsspin[0] 43:qlm_wsspin[1] 44:qlm_wsspin[2] 45:qlm_cvspin[0] 46:qlm_cvspin[1] 47:qlm_cvspin[2] 48:qlm_coordspinx[0] 49:qlm_coordspinx[1] 50:qlm_coordspinx[2] 51:qlm_coordspiny[0] 52:qlm_coordspiny[1] 53:qlm_coordspiny[2] 54:qlm_coordspinz[0] 55:qlm_coordspinz[1] 56:qlm_coordspinz[2] 57:qlm_mass[0] 58:qlm_mass[1] 59:qlm_mass[2] 60:qlm_adm_energy[0] 61:qlm_adm_energy[1] 62:qlm_adm_energy[2] 63:qlm_adm_momentum_x[0] 64:qlm_adm_momentum_x[1] 65:qlm_adm_momentum_x[2] 66:qlm_adm_momentum_y[0] 67:qlm_adm_momentum_y[1] 68:qlm_adm_momentum_y[2] 69:qlm_adm_momentum_z[0] 70:qlm_adm_momentum_z[1] 71:qlm_adm_momentum_z[2] 72:qlm_adm_angular_momentum_x[0] 73:qlm_adm_angular_momentum_x[1] 74:qlm_adm_angular_momentum_x[2] 75:qlm_adm_angular_momentum_y[0] 76:qlm_adm_angular_momentum_y[1] 77:qlm_adm_angular_momentum_y[2] 78:qlm_adm_angular_momentum_z[0] 79:qlm_adm_angular_momentum_z[1] 80:qlm_adm_angular_momentum_z[2] 81:qlm_w_energy[0] 82:qlm_w_energy[1] 83:qlm_w_energy[2] 84:qlm_w_momentum_x[0] 85:qlm_w_momentum_x[1] 86:qlm_w_momentum_x[2] 87:qlm_w_momentum_y[0] 88:qlm_w_momentum_y[1] 89:qlm_w_momentum_y[2] 90:qlm_w_momentum_z[0] 91:qlm_w_momentum_z[1] 92:qlm_w_momentum_z[2] 93:qlm_w_angular_momentum_x[0] 94:qlm_w_angular_momentum_x[1] 95:qlm_w_angular_momentum_x[2] 96:qlm_w_angular_momentum_y[0] 97:qlm_w_angular_momentum_y[1] 98:qlm_w_angular_momentum_y[2] 99:qlm_w_angular_momentum_z[0] 100:qlm_w_angular_momentum_z[1] 101:qlm_w_angular_momentum_z[2]
1159168	1956.096	1956.096 1634.688 1956.096 11.9678230873323 10.6425394400672 11.9678230873323 10.7302568224996 6.33724085786338 10.730256798001 10.730257992988 7.85878125421261 10.730257989353 39.3628729684948 27.4588868584624 39.362872968495 0.884929079590159 0.739105673713626 0.884929079590161 1.76985815918032 1.47821134742725 1.76985815918032 0.622998692524893 0.611224249002249 0.622998692524886 0.952369101199122 0.84690637946857 0.952369101199122 0.999999624120898 0.994422323212141 0.999999624120888 0 0 0 0.623583178628217 0.306871188478399 0.62358317862868 1.86155132709596 -0.682433960093898 1.86155132709735 0.639704020830658 4.67559251263047 0.639704020831132 0 0 0 -1.6876889053431e-18 6.13038742997145e-16 4.75273045857082e-18 1.46810321258015e-17 1.36054538956028e-15 -7.55691849817789e-19 0.62298362818863 0.107899638927823 0.622983628188629 0.952491212241441 0.767706594781748 0.952491212241539 -2.93467558463088 -535.666007697842 -2.93467558463086 1.51969675948945e-10 0.0108504780357105 1.51834747480731e-10 4.66762225075536e-11 0.0231481169378234 4.68367403242192e-11 5.6448941562738e-17 5.07049468384646e-17 5.02158904230541e-17 -6.24093256508399e-18 -9.24363141437917e-19 7.05024738211813e-19 -4.59636469592134e-19 -3.07822886417079e-19 2.23080967552705e-18 0.102186548344503 0.00129631084397518 0.102186548344503 7.19149959650266 1479.06505811297 7.19149959650268 1.59567258911188e-10 0.786848823915491 1.59414893747374e-10 5.57000273209517e-10 16.3727695700982 5.57132255848434e-10 -4.19752871532673e-17 3.61637679701313e-14 -4.82585260360192e-17 2.08261717009008e-18 1.19515565718645e-16 4.40871641065349e-18 1.77574127609414e-17 8.18457216334438e-16 3.09608608766596e-18 0.62298362818863 0.313991244818339 0.622983628188629
1159680	1956.96	1956.96 1634.688 1956.96 11.9678200348613 10.6425394400672 11.9678200348613 10.7302553075483 6.33724085786338 10.7302552825303 10.7302594594641 7.85878125421261 10.7302594555495 39.3628666742836 27.4588868584624 39.3628666742833 0.88492900883909 0.739105673713626 0.884929008839086 1.76985801767818 1.47821134742725 1.76985801767817 0.622997794359772 0.611224249002249 0.62299779435977 0.952368858291198 0.84690637946857 0.952368858291194 0.999999624055451 0.994422323212141 0.999999624055472 0 0 0 0.623583073428269 0.306871188478399 0.623583073428796 1.86154905574255 -0.682433960093898 1.86154905574413 0.639703665001599 4.67559251263047 0.639703665002153 0 0 0 -3.31184487591862e-16 6.13038742997145e-16 2.09218534033859e-16 7.24831922694128e-17 1.36054538956028e-15 -5.83476175586747e-17 0.622983557737181 0.107899638927823 0.622983557737182 0.952491134941767 0.767706594781748 0.952491134941874 -2.93460268071541 -535.666007697842 -2.93460268071548 1.26193265300362e-10 0.0108504780357105 1.26053566886441e-10 -4.09813674234486e-11 0.0231481169378234 -4.0819081899738e-11 1.03547453426216e-15 5.07049468384646e-17 -3.15599316815006e-17 -5.272698612021e-17 -9.24363141437917e-19 4.32999053549783e-17 -1.46443153632174e-16 -3.07822886417079e-19 9.33295580325039e-17 0.102188230111986 0.00129631084397518 0.102188230111984 7.19136365642499 1479.06505811297 7.19136365642511 1.31695291411281e-10 0.786848823915491 1.31536702424927e-10 4.43816259624937e-10 16.3727695700982 4.43948132241049e-10 -5.59113784431473e-17 3.61637679701313e-14 -9.59047874075209e-17 -3.28188142663899e-16 1.19515565718645e-16 2.11000659033754e-16 7.3589292169378e-17 8.18457216334438e-16 -5.9419557117594e-17 0.622983557737182 0.313991244818339 0.622983557737182
1160192	1957.824	1957.824 1634.688 1957.824 11.9678171117204 10.6425394400672 11.9678171117204 10.7302618252914 6.33724085786338 10.7302617989971 10.7302585003939 7.85878125421261 10.7302584954443 39.3628629964929 27.4588868584624 39.3628629964931 0.884928967498303 0.739105673713626 0.884928967498306 1.76985793499661 1.47821134742725 1.76985793499661 0.622996835323202 0.611224249002249 0.622996835323217 0.952368625675035 0.84690637946857 0.95236862567504 0.999999624100595 0.994422323212141 0.99999962410059 0 0 0 0.623583051273322 0.306871188478399 0.623583051273956 1.86154726944998 -0.682433960093898 1.86154726945185 0.639703370994926 4.67559251263047 0.63970337099556 0 0 0 -4.1320245058591e-16 6.13038742997145e-16 1.10798801519973e-16 9.19229254936668e-17 1.36054538956028e-15 -1.05109566589656e-16 0.622983544653228 0.107899638927823 0.622983544653231 0.952491097991524 0.767706594781748 0.952491097991659 -2.93452914153609 -535.666007697842 -2.93452914153596 6.33788099826984e-11 0.0108504780357105 6.32255718945897e-11 -4.92906795554369e-11 0.0231481169378234 -4.91239296958892e-11 -1.74945973154365e-15 5.07049468384646e-17 -1.00693490483431e-15 -6.75668317453044e-17 -9.24363141437917e-19 5.51548416416457e-17 -1.79296680811164e-16 -3.07822886417079e-19 4.26927832277327e-17 0.102189926683763 0.00129631084397518 0.102189926683767 7.19122750632848 1479.06505811297 7.19122750632828 6.12964355740819e-11 0.786848823915491 6.11280241289559e-11 1.10572582846178e-10 16.3727695700982 1.10706000894448e-10 -6.21228822286669e-17 3.61637679701313e-14 -4.80681119580749e-16 -4.1419539137924e-16 1.19515565718645e-16 1.08462438818752e-16 9.43053598881769e-17 8.18457216334438e-16 -1.06993175499197e-16 0.622983544653229 0.313991244818339 0.622983544653229
1160704	1958.688	1958.688 1634.688 1958.688 11.9678173103279 10.6425394400672 11.9678173103279 10.7302668394633 6.33724085786338 10.7302668111086 10.7302592312234 7.85878125421261 10.7302592246585 39.3628671333943 27.4588868584624 39.3628671333945 0.884929013999796 0.739105673713626 0.884929013999799 1.76985802799959 1.47821134742725 1.7698580279996 0.62299673683794 0.611224249002249 0.622996736837933 0.952368641479715 0.84690637946857 0.952368641479715 0.999999624089463 0.994422323212141 0.999999624089447 0 0 0 0.623583087125452 0.306871188478399 0.623583087126109 1.86154541448311 -0.682433960093898 1.86154541448507 0.639702939237423 4.67559251263047 0.639702939238098 0 0 0 8.32005424834583e-17 6.13038742997145e-16 -1.61550672645328e-16 6.01479025732939e-17 1.36054538956028e-15 -5.29122606803903e-17 0.622983584390396 0.107899638927823 0.622983584390395 0.952491141839126 0.767706594781748 0.952491141839265 -2.93445357962984 -535.666007697842 -2.9344535796298 2.87272107466814e-12 0.0108504780357105 2.70136355824863e-12 1.16453494426287e-11 0.0231481169378234 1.18181243329078e-11 -1.06922637678826e-15 5.07049468384646e-17 1.10958847163335e-15 -2.08567923942712e-17 -9.24363141437917e-19 1.31296875784747e-17 4.07474546596793e-17 -3.07822886417079e-19 -7.74494801052773e-17 0.102191662420266 0.00129631084397518 0.102191662420267 7.1910891792126 1479.06505811297 7.19108917921255 -7.7731476183925e-11 0.786848823915491 -7.79231928206099e-11 -7.9379968246655e-11 16.3727695700982 -7.9243432141399e-11 -8.3612225384137e-17 3.61637679701313e-14 1.44959126147674e-18 8.3257778484899e-17 1.19515565718645e-16 -1.63540662929798e-16 6.03190450991926e-17 8.18457216334438e-16 -5.38615248709384e-17 0.622983584390397 0.313991244818339 0.622983584390398
1161216	1959.552	1959.552 1634.688 1959.552 11.9678198889465 10.6425394400672 11.9678198889464 10.7302640978688 6.33724085786338 10.7302640671113 10.7302626725479 7.85878125421261 10.7302626637225 39.3628753117426 27.4588868584624 39.3628753117422 0.884929105929803 0.739105673713626 0.884929105929799 1.76985821185961 1.47821134742725 1.7698582118596 0.622997375118141 0.611224249002249 0.622997375118147 0.952368846679664 0.84690637946857 0.952368846679663 0.999999624050423 0.994422323212141 0.999999624050407 0 0 0 0.623583121663184 0.306871188478399 0.623583121663842 1.86154318698672 -0.682433960093898 1.8615431869887 0.639702370119681 4.67559251263047 0.639702370120363 0 0 0 -2.68964216557064e-16 6.13038742997145e-16 -1.54905134655857e-16 -1.19999796005788e-16 1.36054538956028e-15 -1.25329583269801e-16 0.622983620733773 0.107899638927823 0.622983620733773 0.9524912209275 0.767706594781748 0.952491220927634 -2.93437714318233 -535.666007697842 -2.93437714318239 -2.42256029036788e-11 0.0108504780357105 -2.44223191505018e-11 4.65025275244319e-11 0.0231481169378234 4.66821879184191e-11 2.321719071841e-16 5.07049468384646e-17 1.09630034134402e-15 3.73900722542114e-17 -9.24363141437917e-19 4.35393502372923e-17 -1.31028045083697e-16 -3.07822886417079e-19 -7.67580697620479e-17 0.102193411434208 0.00129631084397518 0.102193411434206 7.19094964045367 1479.06505811297 7.19094964045378 -2.00620688237522e-10 0.786848823915491 -2.00839462175463e-10 -2.72602994002184e-11 16.3727695700982 -2.71230072937283e-11 -1.7517877053162e-16 3.61637679701313e-14 8.83804084001086e-17 -2.67737903689408e-16 1.19515565718645e-16 -1.5234255399669e-16 -1.1533897998773e-16 8.18457216334438e-16 -1.2713683401143e-16 0.622983620733774 0.313991244818339 0.622983620733773
1161728	1960.416	1960.416 1634.688 1960.416 11.9678220306986 10.6425394400672 11.9678220306986 10.7302587765707 6.33724085786338 10.7302587436717 10.7302636983765 7.85878125421261 10.7302636865122 39.3628793214315 27.4588868584624 39.3628793214322 0.884929151001337 0.739105673713626 0.884929151001345 1.76985830200267 1.47821134742725 1.76985830200269 0.622998022430721 0.611224249002249 0.622998022430718 0.95236901711488 0.84690637946857 0.952369017114885 0.999999624077848 0.994422323212141 0.999999624077838 0 0 0 0.623583112563615 0.306871188478399 0.623583112564326 1.86154083067513 -0.682433960093898 1.86154083067721 0.639701849576947 4.67559251263047 0.639701849577648 0 0 0 -9.8556817775937e-17 6.13038742997145e-16 -1.34319779626556e-16 5.66337571858976e-17 1.36054538956028e-15 4.69418027734353e-16 0.622983615229902 0.107899638927823 0.622983615229903 0.952491254262054 0.767706594781748 0.952491254262209 -2.93430223855701 -535.666007697842 -2.93430223855686 -3.17190724529596e-11 0.0108504780357105 -3.19499678153976e-11 -1.87599400262373e-11 0.0231481169378234 -1.8579670718538e-11 7.07232877274444e-16 5.07049468384646e-17 -1.66049558333739e-16 -3.10547270405108e-17 -9.24363141437917e-19 -2.16300466037156e-16 -4.23730460141348e-17 -3.07822886417079e-19 -3.04868850175183e-17 0.102195127539251 0.00129631084397518 0.102195127539254 7.19081176648976 1479.06505811297 7.19081176648951 -2.26517013817094e-10 0.786848823915491 -2.26762153688917e-10 -4.55505885068973e-12 16.3727695700982 -4.42076998469143e-12 -2.35853859607216e-16 3.61637679701313e-14 2.86778022564417e-16 -1.03222151110306e-16 1.19515565718645e-16 -1.32580309527213e-16 5.70845708777848e-17 8.18457216334438e-16 4.63500041453294e-16 0.622983615229904 0.313991244818339 0.622983615229904
1162240	1961.28	1961.28 1634.688 1961.28 11.9678221167317 10.6425394400672 11.9678221167318 10.7302574399062 6.33724085786338 10.7302574054201 10.7302604868495 7.85878125421261 10.7302604713372 39.362876154235 27.4588868584624 39.3628761542355 0.884929115399971 0.739105673713626 0.884929115399976 1.76985823079994 1.47821134742725 1.76985823079995 0.622998188553978 0.611224249002249 0.622998188553983 0.95236902396118 0.84690637946857 0.952369023961185 0.999999624100454 0.994422323212141 0.999999624100459 0 0 0 0.623583074862576 0.306871188478399 0.623583074863333 1.86153877851498 -0.682433960093898 1.8615387785172 0.639701517685728 4.67559251263047 0.639701517686488 0 0 0 -1.07183575676946e-16 6.13038742997145e-16 4.28844704485777e-17 -9.91927802841659e-17 1.36054538956028e-15 2.67469413822265e-16 0.622983581212573 0.107899638927823 0.622983581212575 0.952491218549614 0.767706594781748 0.952491218549776 -2.93422978211458 -535.666007697842 -2.93422978211449 -5.70252258341825e-11 0.0108504780357105 -5.7287445698801e-11 -1.44044444711419e-10 0.0231481169378234 -1.43873141542639e-10 -1.6901701303864e-15 5.07049468384646e-17 2.04131877588079e-16 3.72414030475672e-17 -9.24363141437917e-19 -1.18846568264732e-16 -5.7409605359219e-17 -3.07822886417079e-19 3.63299716519565e-17 0.102196795407623 0.00129631084397518 0.102196795407626 7.19067708605844 1479.06505811297 7.19067708605826 -1.75245428389864e-10 0.786848823915491 -1.75521324096652e-10 -3.01351935272477e-10 16.3727695700982 -3.01229051772997e-10 -2.9053699238082e-16 3.61637679701313e-14 5.24453041859032e-16 -1.06006438586145e-16 1.19515565718645e-16 4.11382830685957e-17 -1.01010821203111e-16 8.18457216334438e-16 2.68058080725016e-16 0.622983581212575 0.313991244818339 0.622983581212574
1162752	1962.144	1962.144 1634.688 1962.144 11.9678205558865 10.6425394400672 11.9678205558865 10.7302593164903 6.33724085786338 10.7302592808841 10.7302584957318 7.85878125421261 10.7302584766023 39.3628713734344 27.4588868584624 39.3628713734345 0.884929061660633 0.739105673713626 0.884929061660634 1.76985812332127 1.47821134742725 1.76985812332127 0.622997795062225 0.611224249002249 0.622997795062231 0.952368899753068 0.84690637946857 0.952368899753069 0.999999624040151 0.994422323212141 0.999999624040143 0 0 0 0.623583059235193 0.306871188478399 0.623583059235916 1.86153708652913 -0.682433960093898 1.86153708653127 0.639701290551254 4.67559251263047 0.639701290552004 0 0 0 5.93264917277317e-17 6.13038742997145e-16 4.28857816672339e-16 -4.68047060253377e-17 1.36054538956028e-15 -1.75463223590256e-16 0.62298356915225 0.107899638927823 0.622983569152249 0.952491173270617 0.767706594781748 0.952491173270769 -2.93415818100375 -535.666007697842 -2.93415818100374 -1.11334947521539e-10 0.0108504780357105 -1.11628175485564e-10 -2.08604588132033e-10 0.0231481169378234 -2.08441189753885e-10 -2.1895234719245e-16 5.07049468384646e-17 -1.1338817683e-15 2.6813751228974e-17 -9.24363141437917e-19 1.0707787797053e-16 2.06513539091587e-17 -3.07822886417079e-19 1.84410029088607e-16 0.102198448313588 0.00129631084397518 0.102198448313588 7.19054404710061 1479.06505811297 7.19054404710057 -1.20698814911641e-10 0.786848823915491 -1.20999338778769e-10 -8.39181419486146e-10 16.3727695700982 -8.39074388063055e-10 -3.72867683923104e-17 3.61637679701313e-14 -2.16684805111366e-16 5.89810753751743e-17 1.19515565718645e-16 4.3160327649165e-16 -4.45268113062129e-17 8.18457216334438e-16 -1.7465038722499e-16 0.622983569152251 0.313991244818339 0.622983569152249
1163264	1963.008	1963.008 1634.688 1963.008 11.9678190010932 10.6425394400672 11.9678190010932 10.7302609719839 6.33724085786338 10.7302609356184 10.7302617150375 7.85878125421261 10.7302616931543 39.362872198015 27.4588868584624 39.3628721980148 0.88492907092946 0.739105673713626 0.884929070929459 1.76985814185892 1.47821134742725 1.76985814185892 0.622997167887663 0.611224249002249 0.622997167887662 0.952368776026548 0.84690637946857 0.952368776026547 0.999999623970752 0.994422323212141 0.999999623970754 0 0 0 0.623583069935319 0.306871188478399 0.623583069936056 1.86153523751954 -0.682433960093898 1.86153523752174 0.63970092489253 4.67559251263047 0.639700924893286 0 0 0 1.90055794752675e-16 6.13038742997145e-16 1.40127161257965e-16 8.07152184502528e-17 1.36054538956028e-15 5.99213461402489e-16 0.622983585716513 0.107899638927823 0.622983585716513 0.952491182753259 0.767706594781748 0.952491182753411 -2.93408527026698 -535.666007697842 -2.93408527026701 -1.57313051438174e-10 0.0108504780357105 -1.57628504619511e-10 -1.44467220697538e-10 0.0231481169378234 -1.44311091004489e-10 -3.33891171716461e-16 5.07049468384646e-17 -1.63095629819045e-15 -2.61999400849681e-17 -9.24363141437917e-19 -2.57884069244194e-16 9.03224819282228e-17 -3.07822886417079e-19 9.91377499049385e-17 0.102200126778518 0.00129631084397518 0.102200126778517 7.19040988768168 1479.06505811297 7.19040988768171 -8.84597102003834e-11 0.786848823915491 -8.87797195298168e-11 -1.22993438872158e-09 16.3727695700982 -1.22983869510141e-09 -6.42826329378848e-17 3.61637679701313e-14 -3.09548950805539e-16 1.94719062982626e-16 1.19515565718645e-16 1.38195908929068e-16 8.12451432790882e-17 8.18457216334438e-16 5.96569212491167e-16 0.622983585716516 0.313991244818339 0.622983585716515
1163776	1963.872	1963.872 1634.688 1963.872 11.9678189159145 10.6425394400672 11.9678189159144 10.7302621922315 6.33724085786338 10.7302621555961 10.7302663099152 7.85878125421261 10.730266286656 39.3628788675113 27.4588868584624 39.3628788675104 0.884929145898976 0.739105673713626 0.884929145898966 1.76985829179795 1.47821134742725 1.76985829179793 0.62299685464126 0.611224249002249 0.622996854641261 0.952368769248238 0.84690637946857 0.95236876924823 0.999999623983374 0.994422323212141 0.99999962398337 0 0 0 0.623583058462595 0.306871188478399 0.623583058463411 1.86153280946934 -0.682433960093898 1.86153280947183 0.63970032095029 4.67559251263047 0.639700320951169 0 0 0 -2.7622294083168e-16 6.13038742997145e-16 2.14798263963863e-17 8.68949963604353e-17 1.36054538956028e-15 -2.80309322617093e-16 0.622983581350324 0.107899638927823 0.622983581350324 0.952491238965711 0.767706594781748 0.952491238965874 -2.93401081825457 -535.666007697842 -2.9340108182548 -1.42920842489753e-10 0.0108504780357105 -1.4324375725764e-10 -1.50072207323596e-11 0.0231481169378234 -1.4857815075425e-11 7.44821933432075e-16 5.07049468384646e-17 1.4413355099525e-16 -5.83189654346413e-17 -9.24363141437917e-19 1.24858287388888e-16 -1.21846365218384e-16 -3.07822886417079e-19 -8.39839579667848e-18 0.102201833424425 0.00129631084397518 0.10220183342442 7.19027382381361 1479.06505811297 7.19027382381402 -5.8180922871867e-11 0.786848823915491 -5.8513192204728e-11 -1.1943593391535e-09 16.3727695700982 -1.1942689435086e-09 8.71803191132836e-17 3.61637679701313e-14 -4.17485585137955e-16 -2.80216326982009e-16 1.19515565718645e-16 2.15445972356194e-17 8.74234774729811e-17 8.18457216334438e-16 -2.81513304925672e-16 0.622983581350326 0.313991244818339 0.622983581350325
