# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
866560 1462.32 0
866816 1462.752 0
867072 1463.184 4.13503899883118e-13
867328 1463.616 7.51337867134086e-11
867584 1464.048 1.36892454227857e-10
867840 1464.48 8.65511521713517e-11
868096 1464.912 3.95782340583871e-10
868352 1465.344 3451.16826860436
868608 1465.776 3743.77168442303
868864 1466.208 455.616049828786
869120 1466.64 7011.37269596677
869376 1467.072 7437.45347392676
869632 1467.504 1076.90555744828
869888 1467.936 7334.73307213266
870144 1468.368 13244.6088544704
870400 1468.8 8957.17990307791
870656 1469.232 8238.62117747523
870912 1469.664 13838.220478528
871168 1470.096 9940.45661359122
871424 1470.528 9258.54266940349
871680 1470.96 21679.3330658868
871936 1471.392 16900.2758036944
872192 1471.824 9341.10959400814
872448 1472.256 21529.4735777164
872704 1472.688 nan
872960 1473.12 9882.29357755759
873216 1473.552 22904.8290885142
873472 1473.984 nan
873728 1474.416 13699.9890046949
873984 1474.848 22559.7863573578
874240 1475.28 nan
874496 1475.712 13758.0909790823
874752 1476.144 22745.878729317
875008 1476.576 nan
875264 1477.008 13239.9642832681
875520 1477.44 22334.3916145064
875776 1477.872 nan
876032 1478.304 12703.9159505373
876288 1478.736 22038.8513196987
876544 1479.168 nan
876800 1479.6 11994.1309999295
877056 1480.032 21620.7981329275
877312 1480.464 18396.057852746
877568 1480.896 11273.6857333563
877824 1481.328 21125.4060262523
878080 1481.76 17695.5709079239
878336 1482.192 10535.827496567
878592 1482.624 20591.1213528737
878848 1483.056 17544.1523838399
879104 1483.488 10744.6571918777
879360 1483.92 20865.63816333
879616 1484.352 17520.6885465843
879872 1484.784 10664.9012860008
880128 1485.216 20730.849525641
880384 1485.648 17588.0238413113
880640 1486.08 10684.3912461408
880896 1486.512 20579.1215564095
881152 1486.944 17524.3204178983
881408 1487.376 10608.9242702334
881664 1487.808 20564.31239127
881920 1488.24 17499.7263870203
882176 1488.672 10518.0353239449
882432 1489.104 3.55319446687138e+215
882688 1489.536 9.47518490420052e+215
882944 1489.968 10107.92541906
883200 1490.4 7.1063713930412e+215
883456 1490.832 9.47505264044852e+215
883712 1491.264 9933.27571657774
883968 1491.696 7.10628471204575e+215
884224 1492.128 9.47504628266012e+215
884480 1492.56 9490.36426771829
884736 1492.992 7.1062847119229e+215
884992 1493.424 9.47504628253727e+215
885248 1493.856 8837.36953551271
885504 1494.288 7.1062847119705e+215
885760 1494.72 9.42859997720219e+215
886016 1495.152 8223.79255824294
886272 1495.584 5.91029235021827e+215
886528 1496.016 1.59465648217622e+215
886784 1496.448 7592.92811110746
887040 1496.88 3.48347289797884e+213
887296 1497.312 2.32231526531421e+213
887552 1497.744 5038.1183006334
887808 1498.176 3933.42320570041
888064 1498.608 2431.87158912694
888320 1499.04 4529.59042785439
888576 1499.472 1488.13027574143
888832 1499.904 2203.21977140049
889088 1500.336 2146.18083213241
889344 1500.768 1422.66275691042
889600 1501.2 1975.5826281831
889856 1501.632 1984.21636604272
890112 1502.064 1333.12282522535
890368 1502.496 1719.28858681168
890624 1502.928 1713.56871753487
890880 1503.36 1222.02881806696
891136 1503.792 1557.85125515124
891392 1504.224 1446.5587536741
891648 1504.656 1114.24332391565
891904 1505.088 1282.85137884917
892160 1505.52 1163.91845165625
892416 1505.952 1017.46933893619
892672 1506.384 1048.57322834189
892928 1506.816 986.548214766108
893184 1507.248 963.879386995014
893440 1507.68 999.583136414922
893696 1508.112 1003.55608779295
893952 1508.544 978.171590257985
894208 1508.976 1153.59243068852
894464 1509.408 1492.74018419131
894720 1509.84 893.637148273481
894976 1510.272 1199.63607375646
895232 1510.704 1508.1977374584
895488 1511.136 846.975621783741
895744 1511.568 1172.73908332993
896000 1512 1456.02715674059
896256 1512.432 786.283126889931
896512 1512.864 1112.49362270268
896768 1513.296 1399.8778964368
897024 1513.728 729.361666306415
897280 1514.16 1059.92716445124
897536 1514.592 1342.72012198259
897792 1515.024 653.242948346495
898048 1515.456 995.31217290518
898304 1515.888 1303.1490476649
898560 1516.32 669.984014754608
898816 1516.752 992.791462806749
899072 1517.184 1272.61862894131
899328 1517.616 614.278969563097
899584 1518.048 550.141988366441
899840 1518.48 966.462794907696
900096 1518.912 188.039457981037
900352 1519.344 512.292037450803
900608 1519.776 907.156384488298
900864 1520.208 172.222583606174
901120 1520.64 485.146484249244
901376 1521.072 885.964366179599
901632 1521.504 130.770706364071
901888 1521.936 468.002152070344
902144 1522.368 863.120140707768
902400 1522.8 115.60841993733
902656 1523.232 448.244502378791
902912 1523.664 851.256256440903
903168 1524.096 109.910239423343
903424 1524.528 439.358912287198
903680 1524.96 843.884032865832
903936 1525.392 109.327794190043
904192 1525.824 435.046765934022
904448 1526.256 815.561772513292
904704 1526.688 105.728838460886
904960 1527.12 420.027420696645
905216 1527.552 786.337742732593
905472 1527.984 90.2396837100999
905728 1528.416 411.090169729925
905984 1528.848 774.686211789387
906240 1529.28 83.6099975643948
906496 1529.712 338.726066079726
906752 1530.144 665.953739802149
907008 1530.576 81.6771177167985
907264 1531.008 310.667073514816
907520 1531.44 627.270000935647
907776 1531.872 73.1869434073661
908032 1532.304 300.466204968039
908288 1532.736 618.865148648652
908544 1533.168 95.0016409477242
908800 1533.6 277.188174309157
909056 1534.032 2.17024567933786e+265
909312 1534.464 98.9500433102385
909568 1534.896 272.543521736528
909824 1535.328 8.58710345165914e+264
910080 1535.76 100.554883302966
910336 1536.192 268.747516628016
910592 1536.624 9.20046798381912e+263
910848 1537.056 122.751271990884
911104 1537.488 1.7653374216978e+177
911360 1537.92 5.23290459999086e+179
911616 1538.352 4.71565043009065e+176
911872 1538.784 9.54274214279335e+175
912128 1539.216 5.10957961103654e+179
912384 1539.648 2.11451771942646e+175
912640 1540.08 4.99873278853942e+173
912896 1540.512 5.1004688300829e+179
913152 1540.944 145.73852035246
913408 1541.376 294.481245005439
913664 1541.808 2.17775423861372e+286
913920 1542.24 147.813690843178
914176 1542.672 293.520733046467
914432 1543.104 4.76003984845299e+179
914688 1543.536 147.790041632199
914944 1543.968 182.196513701015
915200 1544.4 7.68633885570261e+177
915456 1544.832 141.240888592617
915712 1545.264 178.29220473339
915968 1545.696 3.48079197008947e+151
916224 1546.128 144.174361193011
916480 1546.56 174.983676322757
916736 1546.992 3.32154004985125e+151
916992 1547.424 142.841414445514
917248 1547.856 172.980250116777
917504 1548.288 5.85819563578297e+150
917760 1548.72 153.02988432326
918016 1549.152 180.49824149562
918272 1549.584 8.53135286768198e+148
918528 1550.016 176.572894697038
918784 1550.448 178.225456063353
919040 1550.88 402.442976381152
919296 1551.312 175.530293490442
919552 1551.744 177.262179761749
919808 1552.176 404.685167845851
920064 1552.608 173.478950288047
920320 1553.04 175.310075727986
920576 1553.472 356.159076361018
920832 1553.904 160.116309478139
921088 1554.336 135.844521690185
921344 1554.768 119.841080027777
921600 1555.2 135.815589716933
921856 1555.632 107.829149280624
922112 1556.064 116.675329919925
922368 1556.496 133.953124839727
922624 1556.928 112.840023452672
922880 1557.36 124.659909124938
923136 1557.792 150.997291804211
923392 1558.224 127.694643824416
923648 1558.656 147.393016444556
923904 1559.088 150.196275814737
924160 1559.52 118.193715682229
924416 1559.952 144.328293377125
924672 1560.384 152.346060325477
924928 1560.816 119.371017412108
925184 1561.248 147.670034034431
925440 1561.68 148.439163989858
925696 1562.112 117.972308924395
925952 1562.544 137.41496812589
926208 1562.976 132.576715864117
926464 1563.408 112.728870008434
926720 1563.84 123.943857555518
926976 1564.272 117.137746603469
927232 1564.704 111.318443903917
927488 1565.136 120.498882313505
927744 1565.568 117.181449387636
928000 1566 111.986701102043
928256 1566.432 119.844781563733
928512 1566.864 117.061960714745
928768 1567.296 111.478897863238
929024 1567.728 118.927762313367
929280 1568.16 116.810732354044
929536 1568.592 111.116888811674
929792 1569.024 118.023844914433
930048 1569.456 110.888390930112
930304 1569.888 96.9610715921653
930560 1570.32 115.32107432523
930816 1570.752 108.355003688727
931072 1571.184 96.3763882305367
931328 1571.616 114.451507761413
931584 1572.048 106.614933616213
931840 1572.48 95.8350919503069
932096 1572.912 92.6380725857737
932352 1573.344 86.4000728082311
