# Scalar ASCII output created by CarpetIOScalar
# created on nid11022 by elihu on Apr 28 2017 at 19:01:22-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0008/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid11022-elihu-2017.04.28-23.57.41-14813
# Run ID: run-J0040_N40-nid11022-elihu-2017.04.28-23.57.41-14813
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
537088 906.336 0
537344 906.768 0
537600 907.2 4.30584448495233e-08
537856 907.632 3.03834890219365e-07
538112 908.064 1.32773163856084e-06
538368 908.496 1.48668217486871e-06
538624 908.928 505564.348906447
538880 909.36 2612782.42184488
539136 909.792 6838404.45906342
539392 910.224 438438.12147946
539648 910.656 3706732.31173172
539904 911.088 9438611.84600048
540160 911.52 6277801.10124152
540416 911.952 4852624.50776322
540672 912.384 12985983.0891151
540928 912.816 10789843.3664358
541184 913.248 8899242.49061936
541440 913.68 13525558.2948094
541696 914.112 12750985.8290081
541952 914.544 11407889.2269084
542208 914.976 14067223.9817203
542464 915.408 13442618.8995134
542720 915.84 12400436.4033336
542976 916.272 14932612.3548421
543232 916.704 20118328.8006367
543488 917.136 19227263.6663475
543744 917.568 16778683.4216242
544000 918 21411830.5887286
544256 918.432 19319329.8415639
544512 918.864 17013354.3114297
544768 919.296 21563431.7639934
545024 919.728 19441499.4628125
545280 920.16 17272717.3108982
545536 920.592 21751765.9525657
545792 921.024 19733039.4890355
546048 921.456 17816439.3576353
546304 921.888 22042140.3731864
546560 922.32 20116483.5444212
546816 922.752 18593191.5655
547072 923.184 23675255.6932812
547328 923.616 21609447.1305951
547584 924.048 18826502.9650371
547840 924.48 22538444.4162812
548096 924.912 20990894.7499053
548352 925.344 20017506.504229
548608 925.776 22695159.9521367
548864 926.208 22053283.8791508
549120 926.64 18803382.6982463
549376 927.072 22271347.4416649
549632 927.504 22787101.3058974
549888 927.936 19382738.1981423
550144 928.368 21064329.8938396
550400 928.8 23520111.2515909
550656 929.232 20265256.4781693
550912 929.664 21288660.727578
551168 930.096 -nan
551424 930.528 20565986.1261128
551680 930.96 16163338.6301708
551936 931.392 -nan
552192 931.824 20639284.7684643
552448 932.256 15849862.6742491
552704 932.688 -nan
552960 933.12 20222513.4589795
553216 933.552 15385894.1729375
553472 933.984 -nan
553728 934.416 20028396.7358101
553984 934.848 15001816.7515041
554240 935.28 -nan
554496 935.712 18947288.1999372
554752 936.144 14859999.5397939
555008 936.576 -nan
555264 937.008 18703194.2681023
555520 937.44 14540898.803355
555776 937.872 19590768.4036463
556032 938.304 17477087.2602083
556288 938.736 14321921.7711305
556544 939.168 19594328.7033748
556800 939.6 17335225.2612278
557056 940.032 14272302.6333657
557312 940.464 19195090.3277949
557568 940.896 17050177.9056664
557824 941.328 14157535.0385608
558080 941.76 19161138.141
558336 942.192 16723512.3671657
558592 942.624 14078755.367308
558848 943.056 18814915.5143411
559104 943.488 16336511.2548274
559360 943.92 13912471.1090921
559616 944.352 18613894.7868401
559872 944.784 inf
560128 945.216 13790479.3513721
560384 945.648 18243882.5549023
560640 946.08 inf
560896 946.512 13618165.3925542
561152 946.944 17937296.833513
561408 947.376 inf
561664 947.808 13358347.2849351
561920 948.24 17618162.0902648
562176 948.672 inf
562432 949.104 12860497.4253828
562688 949.536 16932899.8110647
562944 949.968 inf
563200 950.4 12285607.8566867
563456 950.832 16388690.3612879
563712 951.264 13144824.7117407
563968 951.696 11888473.7970952
564224 952.128 15903937.9593981
564480 952.56 12660113.6827278
564736 952.992 11578076.0211456
564992 953.424 15515075.2525165
565248 953.856 12263715.7462133
565504 954.288 11318728.7723213
565760 954.72 14910733.9796865
566016 955.152 11708225.7178314
566272 955.584 10749002.9867708
566528 956.016 14270748.1043645
566784 956.448 11047414.4279649
567040 956.88 10333251.8211958
567296 957.312 13804004.4942021
567552 957.744 10364432.1635663
567808 958.176 10083570.068313
568064 958.608 13475374.330229
568320 959.04 9822929.24653058
568576 959.472 9620416.90955112
568832 959.904 12922135.3491271
569088 960.336 9480848.22725421
569344 960.768 -nan
569600 961.2 12281382.7281297
569856 961.632 8916373.27969432
570112 962.064 -nan
570368 962.496 11626029.377021
570624 962.928 8492009.33710958
570880 963.36 -nan
571136 963.792 11762264.6095723
571392 964.224 8439730.79342529
571648 964.656 -nan
571904 965.088 -nan
572160 965.52 -nan
572416 965.952 -nan
572672 966.384 -nan
572928 966.816 -nan
573184 967.248 -nan
573440 967.68 -nan
573696 968.112 -nan
573952 968.544 -nan
574208 968.976 -nan
574464 969.408 -nan
574720 969.84 -nan
574976 970.272 -nan
575232 970.704 -nan
575488 971.136 -nan
575744 971.568 -nan
576000 972 -nan
576256 972.432 -nan
576512 972.864 -nan
576768 973.296 -nan
577024 973.728 -nan
577280 974.16 -nan
577536 974.592 -nan
577792 975.024 -nan
578048 975.456 -nan
578304 975.888 -nan
578560 976.32 -nan
578816 976.752 -nan
579072 977.184 -nan
579328 977.616 -nan
579584 978.048 -nan
579840 978.48 -nan
580096 978.912 -nan
580352 979.344 -nan
580608 979.776 -nan
580864 980.208 -nan
581120 980.64 -nan
581376 981.072 -nan
581632 981.504 -nan
581888 981.936 -nan
582144 982.368 -nan
582400 982.8 -nan
582656 983.232 -nan
582912 983.664 -nan
583168 984.096 -nan
583424 984.528 -nan
583680 984.96 -nan
583936 985.392 -nan
584192 985.824 -nan
584448 986.256 3150532.37658396
584704 986.688 -nan
584960 987.12 -nan
585216 987.552 2888008.1877134
585472 987.984 -nan
585728 988.416 -nan
585984 988.848 2801801.17871003
586240 989.28 -nan
586496 989.712 -nan
586752 990.144 2693205.60355021
587008 990.576 -nan
587264 991.008 -nan
587520 991.44 2709054.64543667
587776 991.872 1888030.47384734
588032 992.304 7286051.24963496
588288 992.736 2643726.81085941
588544 993.168 1822462.12462743
588800 993.6 7272553.08959125
589056 994.032 2637999.21949051
589312 994.464 1745919.41435181
589568 994.896 7272428.61410174
589824 995.328 2621562.89569252
590080 995.76 1801431.52952807
590336 996.192 7282394.04892454
590592 996.624 2647575.05514531
590848 997.056 1808923.79794573
591104 997.488 7262633.29692225
591360 997.92 2647300.55173293
591616 998.352 1848366.01085766
591872 998.784 7269740.93568788
592128 999.216 2642559.34170275
592384 999.648 1889935.63478995
592640 1000.08 7257744.15236382
592896 1000.512 2636780.66954408
593152 1000.944 1840673.22407251
593408 1001.376 7241462.04438334
593664 1001.808 2626170.36570829
593920 1002.24 1798483.31869719
594176 1002.672 7234452.32093486
594432 1003.104 2608016.94028406
594688 1003.536 -nan
594944 1003.968 7198762.13460342
595200 1004.4 2550753.86754389
595456 1004.832 -nan
595712 1005.264 7161914.99782365
595968 1005.696 2442982.24222657
596224 1006.128 -nan
596480 1006.56 6829278.38012364
596736 1006.992 1819628.99594548
596992 1007.424 1139788.31114759
597248 1007.856 6800297.92810631
597504 1008.288 664697.036841185
597760 1008.72 -nan
598016 1009.152 -nan
598272 1009.584 511588.479123959
598528 1010.016 -nan
598784 1010.448 -nan
599040 1010.88 685859.555605173
599296 1011.312 -nan
599552 1011.744 -nan
599808 1012.176 533542.515050957
600064 1012.608 -nan
600320 1013.04 -nan
600576 1013.472 444860.896790579
600832 1013.904 -nan
601088 1014.336 -nan
601344 1014.768 433432.042866199
601600 1015.2 -nan
601856 1015.632 -nan
602112 1016.064 410811.137319942
602368 1016.496 770288.160626703
602624 1016.928 -nan
602880 1017.36 630535.377669984
