# Scalar ASCII output created by CarpetIOScalar
# created on nid14400 by elihu on Apr 29 2017 at 20:04:57-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0010/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
# Run ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
669440 1129.68 0 0 0
669696 1130.112 0 0 0
669952 1130.544 0.00176086503154932 0 0
670208 1130.976 0.109911488666268 0.109811884968741 0.097706413304608
670464 1131.408 0.115573527171581 0.115579109803424 0.116729738580024
670720 1131.84 0.105478188495007 0.10547796890832 0.0967609859910044
670976 1132.272 0.109911488666268 0.109811884968741 0.0978773257464627
671232 1132.704 0.115573527171581 0.115579109803424 0.116729738580024
671488 1133.136 0.105478188495007 0.10547796890832 0.0978971337280838
671744 1133.568 0.109911488666268 0.109811884968741 0.0978773257464627
672000 1134 34996032714.8499 0.115579109803424 0.116729738580024
672256 1134.432 23330688476.4643 23330688476.4643 23330688476.4643
672512 1134.864 93322753906.25 93322753906.25 93322753906.25
672768 1135.296 93322753906.25 93322753906.25 93322753906.25
673024 1135.728 104988098144.531 104988098144.531 104988098144.531
673280 1136.16 93322753906.25 93322753906.25 93322753906.25
673536 1136.592 104988098144.531 104988098144.531 104988098144.531
673792 1137.024 104988098144.531 104988098144.531 104988098144.531
674048 1137.456 93322753906.25 93322753906.25 93322753906.25
674304 1137.888 104988098144.531 104988098144.531 104988098144.531
674560 1138.32 104988098144.531 104988098144.531 104988098144.531
674816 1138.752 93322753906.25 93322753906.25 93322753906.25
675072 1139.184 104988098144.531 104988098144.531 104988098144.531
675328 1139.616 104988098144.531 104988098144.531 104988098144.531
675584 1140.048 93322753906.25 93322753906.25 93322753906.25
675840 1140.48 104988098144.531 104988098144.531 104988098144.531
676096 1140.912 104988098144.605 104988098144.605 104988098144.605
676352 1141.344 93442082405.0903 93442082405.0903 93442082405.0903
676608 1141.776 104988098144.531 104988098144.531 104988098144.531
676864 1142.208 105122342705.727 105122342705.727 105122342705.727
677120 1142.64 105304224416.613 105304224416.614 105304224416.614
677376 1143.072 104988098144.531 104988098144.531 104988098144.531
677632 1143.504 105122342705.727 105122342705.727 105122342705.727
677888 1143.936 109502440318.465 109502440318.465 109502440318.465
678144 1144.368 109929084777.832 109929084777.832 109929084777.832
678400 1144.8 5.23677734964131e+230 109502440318.468 109502440318.465
678656 1145.232 123190245358.226 123190245358.276 123190245358.273
678912 1145.664 109929084777.832 109929084777.832 109929084777.832
679168 1146.096 5.23677734964131e+230 154749889887.171 154749889887.171
679424 1146.528 147924652555.957 147924652555.957 147924652555.957
679680 1146.96 109929084777.832 109929084777.832 109929084777.832
679936 1147.392 5.23677734964131e+230 154749889887.171 154749889887.171
680192 1147.824 147924652555.957 147924652555.957 147924652555.957
680448 1148.256 118171383510.344 118172822359.384 109502440318.465
680704 1148.688 5.23677734964131e+230 154749889887.171 154749889887.171
680960 1149.12 147924652555.957 147924652555.957 147924652555.957
681216 1149.552 109502440318.465 109502440318.465 109502440318.465
681472 1149.984 5.23677734964131e+230 154749889887.171 154749889887.171
681728 1150.416 155280380759.772 155280380759.774 155411782504.077
681984 1150.848 172576122521.473 172576122521.474 169039773077.915
682240 1151.28 5.23677734964131e+230 167240121880.224 165340052657.601
682496 1151.712 123190245358.226 123190245358.276 123190245358.273
682752 1152.144 1.51232268284055e+183 113299534367.195 113299317716.157
683008 1152.576 5.23677734964131e+230 118215796268.472 120890512144.781
683264 1153.008 3.78080670710138e+184 123543515741.331 123585502779.562
