# 0D ASCII output created by CarpetIOASCII
# created on nid22248 by elihu on Apr 24 2017 at 19:17:44-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0000/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
# Run ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures-qlm_scalars)
#
# column format: 1:it	2:time	3:data
# data columns: 3:qlm_time[0] 4:qlm_time[1] 5:qlm_time[2] 6:qlm_equatorial_circumference[0] 7:qlm_equatorial_circumference[1] 8:qlm_equatorial_circumference[2] 9:qlm_polar_circumference_0[0] 10:qlm_polar_circumference_0[1] 11:qlm_polar_circumference_0[2] 12:qlm_polar_circumference_pi_2[0] 13:qlm_polar_circumference_pi_2[1] 14:qlm_polar_circumference_pi_2[2] 15:qlm_area[0] 16:qlm_area[1] 17:qlm_area[2] 18:qlm_irreducible_mass[0] 19:qlm_irreducible_mass[1] 20:qlm_irreducible_mass[2] 21:qlm_radius[0] 22:qlm_radius[1] 23:qlm_radius[2] 24:qlm_spin_guess[0] 25:qlm_spin_guess[1] 26:qlm_spin_guess[2] 27:qlm_mass_guess[0] 28:qlm_mass_guess[1] 29:qlm_mass_guess[2] 30:qlm_killing_eigenvalue_re[0] 31:qlm_killing_eigenvalue_re[1] 32:qlm_killing_eigenvalue_re[2] 33:qlm_killing_eigenvalue_im[0] 34:qlm_killing_eigenvalue_im[1] 35:qlm_killing_eigenvalue_im[2] 36:qlm_spin[0] 37:qlm_spin[1] 38:qlm_spin[2] 39:qlm_npspin[0] 40:qlm_npspin[1] 41:qlm_npspin[2] 42:qlm_wsspin[0] 43:qlm_wsspin[1] 44:qlm_wsspin[2] 45:qlm_cvspin[0] 46:qlm_cvspin[1] 47:qlm_cvspin[2] 48:qlm_coordspinx[0] 49:qlm_coordspinx[1] 50:qlm_coordspinx[2] 51:qlm_coordspiny[0] 52:qlm_coordspiny[1] 53:qlm_coordspiny[2] 54:qlm_coordspinz[0] 55:qlm_coordspinz[1] 56:qlm_coordspinz[2] 57:qlm_mass[0] 58:qlm_mass[1] 59:qlm_mass[2] 60:qlm_adm_energy[0] 61:qlm_adm_energy[1] 62:qlm_adm_energy[2] 63:qlm_adm_momentum_x[0] 64:qlm_adm_momentum_x[1] 65:qlm_adm_momentum_x[2] 66:qlm_adm_momentum_y[0] 67:qlm_adm_momentum_y[1] 68:qlm_adm_momentum_y[2] 69:qlm_adm_momentum_z[0] 70:qlm_adm_momentum_z[1] 71:qlm_adm_momentum_z[2] 72:qlm_adm_angular_momentum_x[0] 73:qlm_adm_angular_momentum_x[1] 74:qlm_adm_angular_momentum_x[2] 75:qlm_adm_angular_momentum_y[0] 76:qlm_adm_angular_momentum_y[1] 77:qlm_adm_angular_momentum_y[2] 78:qlm_adm_angular_momentum_z[0] 79:qlm_adm_angular_momentum_z[1] 80:qlm_adm_angular_momentum_z[2] 81:qlm_w_energy[0] 82:qlm_w_energy[1] 83:qlm_w_energy[2] 84:qlm_w_momentum_x[0] 85:qlm_w_momentum_x[1] 86:qlm_w_momentum_x[2] 87:qlm_w_momentum_y[0] 88:qlm_w_momentum_y[1] 89:qlm_w_momentum_y[2] 90:qlm_w_momentum_z[0] 91:qlm_w_momentum_z[1] 92:qlm_w_momentum_z[2] 93:qlm_w_angular_momentum_x[0] 94:qlm_w_angular_momentum_x[1] 95:qlm_w_angular_momentum_x[2] 96:qlm_w_angular_momentum_y[0] 97:qlm_w_angular_momentum_y[1] 98:qlm_w_angular_momentum_y[2] 99:qlm_w_angular_momentum_z[0] 100:qlm_w_angular_momentum_z[1] 101:qlm_w_angular_momentum_z[2]
0	0	0 0 0 6.28345881394549 6.2834588139455 0 6.28173867451688 6.28351904628814 0 6.28335887856764 6.28351434889317 0 12.566332127762 12.5663321277621 0 0.499999234332892 0.499999234332893 0 0.999998468665784 0.999998468665785 0 0.00474668812039291 0.00474668812036076 0 0.500021764976881 0.500021764976882 0 1.00000026032433 1.00000026032442 0 0 0 0 -1.45328649116861e-08 -1.45631194735103e-08 0 -1.71932779228391e-06 -1.71938995953136e-06 0 -8.10840889312414e-09 -8.10841902739346e-09 0 0 0 0 -8.0180647976591e-19 1.51623766539474e-18 0 8.63854432693916e-19 -7.22782474006176e-19 0 -1.64175268821668e-11 -1.64174946250865e-11 0 0.499999234332892 0.499999234332893 0 -8.47548744564961 -8.4754874456497 0 3.30833166086944e-09 -3.30833166054608e-09 0 0.00362472818173123 -0.00362472818173119 0 -1.01145520180171e-18 -1.34755822272495e-20 0 7.14728763245043e-19 2.4843610573632e-19 0 8.29575582494632e-18 -1.84258640414435e-19 0 0.0295217082142819 0.0295217082142817 0 17.1211838735287 17.1211838735289 0 1.4542307579276e-11 -1.45423123038973e-11 0 0.0620160467668136 -0.0620160467668137 0 -1.49547020490131e-18 3.09900997013901e-18 0 -8.52455686868438e-19 1.41386517538127e-18 0 1.24497253556537e-17 2.3452375160642e-17 0 0.505088229209128 0.505088229209129 0
512	0.864	0.864 0.864 0 6.28375399862968 6.28375399862969 0 6.28075129521418 6.28329808447169 0 6.27594475765917 6.29145404912019 0 12.5662874140729 12.566287414073 0 0.499998344780157 0.499998344780158 0 0.999996689560315 0.999996689560316 0 0.00684923223495693 0.00684923223498532 0 0.500045255027688 0.500045255027689 0 1.0000002851364 1.00000028513642 0 0 0 0 4.83869217248382e-09 4.78537010787218e-09 0 -4.19061459925825e-05 -4.19061604175457e-05 0 6.16992688904397e-06 6.16993078069672e-06 0 0 0 0 3.71767143833257e-18 1.04918610935563e-18 0 -2.09854441530818e-17 3.67917823887354e-18 0 -3.06880259089927e-07 -3.06880259064467e-07 0 0.499998344780158 0.499998344780158 0 -2.9077390049324 -2.90773900493239 0 -2.51638935205387e-05 2.51638935207357e-05 0 0.00612308025047738 -0.00612308025047754 0 2.9589622218068e-17 -1.54987333088346e-17 0 1.5367948812606e-18 8.08752546486786e-19 0 -1.76712618766907e-16 -1.10149575505575e-16 0 0.0579540698785779 0.0579540698785782 0 6.52546744343608 6.52546744343606 0 -2.42772545392005e-06 2.4277254536234e-06 0 0.0585246723548087 -0.0585246723548089 0 -3.46409645292046e-17 1.3619631032436e-17 0 3.92595609020832e-18 6.74800917847881e-19 0 6.03994052599464e-17 -2.43594715310155e-17 0 0.494754930714547 0.494754930714562 0
1024	1.728	1.728 1.728 0 6.28330140403709 6.28330140403708 0 6.28158420225622 6.28361495986979 0 6.23240505113655 6.33392518729651 0 12.5663670498979 12.5663670498979 0 0.499999929087291 0.499999929087291 0 0.999999858174583 0.999999858174583 0 0.00305117842664709 0.00305117842648789 0 0.500009238694375 0.500009238694374 0 0.999999646022353 0.999999646022425 0 0 0 0 3.42674627481408e-07 3.42737596241962e-07 0 -7.76028599451128e-05 -7.76005962992119e-05 0 1.62775863809243e-05 1.62771160524419e-05 0 0 0 0 -7.95419432459059e-18 3.62142590447432e-18 0 7.1653984719949e-18 -1.7716678921628e-17 0 2.83254751311709e-07 2.83254751428945e-07 0 0.499999929087409 0.499999929087409 0 -1.35290173255718 -1.35290173255719 0 -7.85207008460038e-05 7.85207008463358e-05 0 0.0090646337010673 -0.0090646337010673 0 -3.08427485705901e-17 -1.12042087627355e-16 0 -2.09664977158898e-18 7.56883017208226e-18 0 1.09241890890709e-16 -5.52685430707532e-16 0 0.0770378070603222 0.0770378070603225 0 3.53911261788658 3.53911261788662 0 -8.27887727498927e-05 8.27887727484762e-05 0 0.0549325555515832 -0.0549325555515845 0 -8.80974709900203e-18 -1.33413548715878e-17 0 -1.34072989762357e-17 1.92980596198975e-17 0 4.83351567796857e-16 -1.55282900760285e-15 0 0.501380525640844 0.501380525640847 0
1536	2.592	2.592 2.592 0 6.28244149191517 6.28244149191519 0 6.28361592339955 6.28520441463291 0 6.23230695948544 6.33206850060213 0 12.5663132334341 12.5663132334342 0 0.499998858441463 0.499998858441465 0 0.999997716882927 0.99999771688293 0 -0.00761876710418242 -0.00761876710417517 0 0.499940809061961 0.499940809061962 0 1.00000001529372 1.00000001529388 0 0 0 0 5.25332723868083e-08 5.25262902864878e-08 0 -0.000108647137015934 -0.000108637771436966 0 2.51832469424467e-05 2.5181075980938e-05 0 0 0 0 1.37480412138716e-17 -2.01315183330195e-18 0 6.82544675818154e-18 5.87486127311548e-18 0 -4.75877515943396e-07 -4.75877516387068e-07 0 0.499998858441466 0.499998858441468 0 -0.936024636557873 -0.936024636557853 0 -0.000192470805259744 0.000192470805259914 0 0.0122968929778629 -0.0122968929778629 0 -1.34703896321187e-16 -1.55458147012228e-17 0 -7.68758630322845e-18 6.06017771020974e-19 0 4.20068090139943e-16 -4.80589335678799e-17 0 0.0769950276365303 0.0769950276365294 0 2.65797603803501 2.657976038035 0 -0.000259977987615685 0.000259977987615596 0 0.0489226620554794 -0.0489226620554803 0 6.26943108208473e-17 -7.45585046423531e-18 0 -1.41758604520935e-17 1.82373344003348e-18 0 1.64590247872474e-15 -2.70646982253274e-16 0 0.507163223223928 0.507163223223933 0
2048	3.456	3.456 3.456 0 6.28219438273298 6.28219438273296 0 6.28463829147891 6.28587381703033 0 6.24129959604351 6.32235362863962 0 12.5663740402204 12.5663740402203 0 0.500000068155339 0.500000068155337 0 1.00000013631068 1.00000013631067 0 -0.00888353649508978 -0.00888353649507098 0 0.499921144738046 0.499921144738044 0 0.999999765016868 0.999999765016678 0 0 0 0 -1.67092413178945e-07 -1.6705871753497e-07 0 -0.000133468798297323 -0.000133459146493562 0 3.27215275668221e-05 3.27191574083365e-05 0 0 0 0 -5.63295034700069e-18 -6.83025926367538e-18 0 -4.98763767730493e-18 -1.42851942651657e-17 0 -1.96642804204878e-07 -1.96642804709778e-07 0 0.500000068155367 0.500000068155365 0 -0.91032422616335 -0.910324226163357 0 -0.000304231630358375 0.000304231630357796 0 0.0128192165762683 -0.0128192165762686 0 -2.63627019924042e-18 -6.48727936906588e-17 0 -2.65582274614333e-18 4.1650395224029e-18 0 8.07633990566049e-17 -1.78879936204148e-16 0 0.0695121346997829 0.0695121346997822 0 2.51643626268 2.51643626268003 0 -0.000493649015132108 0.000493649015129627 0 0.0435247429813083 -0.0435247429813091 0 8.04832319208288e-19 -6.43673591721824e-18 0 -6.11408509390517e-18 1.93985347768961e-17 0 2.56227925738657e-17 -9.86797791597937e-16 0 0.48367835305452 0.483678353054529 0
2560	4.32	4.32 4.32 0 6.28244346823318 6.28244346823319 0 6.28439887678694 6.28510875883043 0 6.24212563397098 6.32191736775243 0 12.5663178365667 12.5663178365667 0 0.499998950018077 0.499998950018078 0 0.999997900036154 0.999997900036156 0 -0.0076144571928913 -0.00761445719292229 0 0.499940966332351 0.499940966332351 0 0.999999750255113 0.999999750255182 0 0 0 0 -1.10809078078372e-07 -1.10790563770231e-07 0 -0.000152747029120419 -0.000152734693213299 0 3.77769697986249e-05 3.77739086094388e-05 0 0 0 0 1.62521179326358e-18 8.70851253363639e-18 0 -7.21315473254467e-18 3.35311265464584e-17 0 -8.55686519695318e-08 -8.55686520823916e-08 0 0.499998950018089 0.49999895001809 0 -0.999797207715836 -0.999797207715828 0 -0.000366251938316121 0.000366251938315872 0 0.0114753678310272 -0.0114753678310267 0 -5.57160957206161e-17 -4.9411680085859e-17 0 -9.88832614171739e-18 6.30739924238209e-18 0 2.70656981023655e-16 -1.47736441799882e-16 0 0.0657959482516883 0.0657959482516866 0 2.64105842439621 2.64105842439619 0 -0.00076766947460039 0.000767669474600241 0 0.0417970758875378 -0.0417970758875388 0 -2.47363745855977e-17 2.96137900684398e-17 0 -2.94742091014353e-17 2.85947840073968e-17 0 9.70221789714149e-16 -5.87021054573677e-16 0 0.456824318107854 0.456824318107843 0
3072	5.184	5.184 5.184 0 6.2829222098613 6.28292220986133 0 6.28364850071813 6.28382092050458 0 6.24035387365583 6.3246338928439 0 12.5662858834091 12.5662858834091 0 0.499998314328466 0.499998314328467 0 0.999996628656932 0.999996628656934 0 -0.00438752578625013 -0.00438752578614894 0 0.49997906338064 0.499979063380643 0 0.999999790316642 0.999999790316742 0 0 0 0 9.0002551933533e-09 8.99909828023809e-09 0 -0.000167931620954687 -0.000167918409863706 0 4.01947549181638e-05 4.01915804195265e-05 0 0 0 0 -6.88823028727453e-19 5.58775069114314e-18 0 -2.38644077175664e-17 7.11467871109969e-18 0 -4.48352145410826e-07 -4.48352146239219e-07 0 0.499998314328466 0.499998314328467 0 -1.11629822095597 -1.11629822095596 0 -0.000399611691959133 0.000399611691959243 0 0.0101713480461011 -0.0101713480461013 0 -2.16977689699174e-17 6.05368266828214e-17 0 -2.68319272987728e-18 -1.18138391080457e-17 0 7.22296667034432e-17 2.82382969291087e-16 0 0.0655971795645339 0.0655971795645334 0 2.84548858502276 2.84548858502275 0 -0.00108637258865593 0.00108637258865341 0 0.0428115671977942 -0.042811567197795 0 -5.45243954614011e-17 -5.70650104363396e-17 0 -2.89232646609211e-17 -1.42277213550078e-17 0 6.94735007974233e-16 4.65241204476282e-16 0 0.445433141519996 0.445433141520003 0
3584	6.048	6.048 6.048 0 6.28344158366889 6.28344158366889 0 6.2828883066298 6.2824708147461 0 6.24037764554779 6.32571835558305 0 12.5663588268524 12.5663588268524 0 0.499999765494948 0.499999765494949 0 0.999999530989896 0.999999530989897 0 0.00454188689762674 0.0045418868975962 0 0.500020393835035 0.500020393835036 0 1.00000002229759 1.00000002229732 0 0 0 0 -1.50181745596265e-07 -1.50174424163121e-07 0 -0.000177589085616304 -0.00017758148022511 0 4.21343123208518e-05 4.21325095783401e-05 0 0 0 0 -1.97698707166589e-18 3.43050594117093e-18 0 -3.10003539498934e-18 3.26586785896109e-18 0 -3.30502094954729e-07 -3.30502095363505e-07 0 0.49999976549497 0.499999765494971 0 -1.2214831800628 -1.2214831800628 0 -0.000429686423627572 0.000429686423627212 0 0.00944332933783002 -0.00944332933782908 0 -2.27016778123565e-17 3.21794764136121e-17 0 -3.64613730405631e-18 -5.54322854406432e-18 0 7.87699476091558e-17 1.23881749275898e-16 0 0.0654647591647701 0.0654647591647673 0 3.04285670120158 3.04285670120158 0 -0.00143583208249541 0.00143583208249376 0 0.0443240231233675 -0.0443240231233681 0 4.50635559784887e-17 -7.71628220865372e-17 0 4.66796484384645e-21 7.94584291360434e-18 0 5.5437499734651e-17 -5.13124822154314e-17 0 0.446436693283702 0.44643669328369 0
4096	6.912	6.912 6.912 0 6.28382146896051 6.28382146896049 0 6.28240191132901 6.28139209233523 0 6.24295890681928 6.32402631322379 0 12.5663977302725 12.5663977302724 0 0.500000539453665 0.500000539453662 0 1.00000107890733 1.00000107890732 0 0.00707724260910173 0.00707724260912914 0 0.50005062414602 0.500050624146019 0 0.999999877552537 0.999999877552644 0 0 0 0 -1.46871658963746e-08 -1.46976388622917e-08 0 -0.000177698943147752 -0.000177704395215508 0 4.69061620762679e-05 4.69075885917298e-05 0 0 0 0 -5.42028944045267e-18 -6.05428747034173e-18 0 9.72735832461126e-19 1.30393918678365e-19 0 1.01481394200877e-06 1.01481394127771e-06 0 0.500000539453665 0.500000539453663 0 -1.29527052868794 -1.29527052868795 0 -0.000468509337502319 0.000468509337502405 0 0.00914536593659267 -0.00914536593659315 0 -2.07000554883515e-17 -7.62722820110274e-17 0 -6.57826780369603e-18 1.93865863422439e-17 0 1.18430704450663e-16 -3.34403270612784e-16 0 0.0641401809516188 0.0641401809516214 0 3.18843634428635 3.18843634428636 0 -0.00178992286078695 0.00178992286078537 0 0.0450429594380441 -0.0450429594380451 0 -7.223269883374e-17 2.61376947825068e-17 0 -4.87488089980799e-17 3.7544206906341e-17 0 6.96304924057281e-16 -7.60146998492867e-16 0 0.451328255508998 0.451328255509001 0
4608	7.776	7.776 7.776 0 6.28394946664696 6.28394946664694 0 6.28225244595435 6.28079322061575 0 6.24632118307212 6.32105309477694 0 12.5662746101658 12.5662746101658 0 0.499998090053611 0.499998090053611 0 0.999996180107221 0.999996180107222 0 0.00791978785453073 0.00791978785441329 0 0.500060809878271 0.50006080987827 0 0.999999831662129 0.999999831662214 0 0 0 0 -1.56437251349012e-07 -1.564700590778e-07 0 -0.00017185702615053 -0.00017186974559436 0 5.1901119222146e-05 5.19049371900262e-05 0 0 0 0 -6.08506216875201e-18 -4.15800524621886e-18 0 2.86587091584156e-19 -1.14388358404563e-17 0 2.1413572817237e-06 2.14135728066315e-06 0 0.499998090053635 0.499998090053635 0 -1.33064086523491 -1.33064086523491 0 -0.000519510232572048 0.000519510232571307 0 0.00904254991063344 -0.00904254991063396 0 3.0953997408954e-17 6.32589447653078e-17 0 9.44806683360933e-18 -2.18523826220652e-17 0 -1.3837568138929e-16 3.13208034823908e-16 0 0.0624166380681273 0.0624166380681277 0 3.26467053623793 3.26467053623794 0 -0.00212830780520863 0.00212830780520555 0 0.0449892406275608 -0.0449892406275621 0 -6.53910459475019e-17 7.25124334061446e-18 0 -1.66565955972556e-17 -5.30769743476011e-17 0 1.26137933046486e-16 6.98481620130665e-16 0 0.454887705323695 0.454887705323703 0
