# 0D ASCII output created by CarpetIOASCII
# created on nid22248 by elihu on Apr 24 2017 at 19:17:51-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0000/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
# Run ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
#
# PUNCTURETRACKER::PT_LOC (puncturetracker-pt_loc)
#
# column format: 1:it	2:time	3:data
# data columns: 3:pt_loc_t[0] 4:pt_loc_t[1] 5:pt_loc_t[2] 6:pt_loc_t[3] 7:pt_loc_t[4] 8:pt_loc_t[5] 9:pt_loc_t[6] 10:pt_loc_t[7] 11:pt_loc_t[8] 12:pt_loc_t[9] 13:pt_loc_x[0] 14:pt_loc_x[1] 15:pt_loc_x[2] 16:pt_loc_x[3] 17:pt_loc_x[4] 18:pt_loc_x[5] 19:pt_loc_x[6] 20:pt_loc_x[7] 21:pt_loc_x[8] 22:pt_loc_x[9] 23:pt_loc_y[0] 24:pt_loc_y[1] 25:pt_loc_y[2] 26:pt_loc_y[3] 27:pt_loc_y[4] 28:pt_loc_y[5] 29:pt_loc_y[6] 30:pt_loc_y[7] 31:pt_loc_y[8] 32:pt_loc_y[9] 33:pt_loc_z[0] 34:pt_loc_z[1] 35:pt_loc_z[2] 36:pt_loc_z[3] 37:pt_loc_z[4] 38:pt_loc_z[5] 39:pt_loc_z[6] 40:pt_loc_z[7] 41:pt_loc_z[8] 42:pt_loc_z[9]
0	0	0 0 0 0 0 0 0 0 0 0 8.14447639858 -8.14447639858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
256	0.432	0.4269375 0.4269375 0 0 0 0 0 0 0 0 8.14447460591645 -8.14447460591645 0 0 0 0 0 0 0 0 0.0032234986863824 -0.00322349868638269 0 0 0 0 0 0 0 0 -2.1617797533345e-22 -1.12058822160486e-21 0 0 0 0 0 0 0 0
512	0.864	0.8589375 0.8589375 0 0 0 0 0 0 0 0 8.14444107403098 -8.14444107403098 0 0 0 0 0 0 0 0 0.0210145314939219 -0.0210145314939229 0 0 0 0 0 0 0 0 8.03456444072716e-21 -2.99915542313759e-22 0 0 0 0 0 0 0 0
768	1.296	1.2909375 1.2909375 0 0 0 0 0 0 0 0 8.14432670544901 -8.14432670544902 0 0 0 0 0 0 0 0 0.0486656443121087 -0.0486656443121112 0 0 0 0 0 0 0 0 8.63344040175761e-21 2.0152721140125e-21 0 0 0 0 0 0 0 0
1024	1.728	1.7229375 1.7229375 0 0 0 0 0 0 0 0 8.14410869408233 -8.14410869408233 0 0 0 0 0 0 0 0 0.0803525551524413 -0.0803525551524458 0 0 0 0 0 0 0 0 -5.40234454098915e-21 7.09516996723437e-21 0 0 0 0 0 0 0 0
1280	2.16	2.1549375 2.1549375 0 0 0 0 0 0 0 0 8.14379851401422 -8.14379851401422 0 0 0 0 0 0 0 0 0.112767806669166 -0.112767806669171 0 0 0 0 0 0 0 0 -1.16674757189638e-21 -4.33825025738459e-21 0 0 0 0 0 0 0 0
1536	2.592	2.5869375 2.5869375 0 0 0 0 0 0 0 0 8.1434027807167 -8.14340278071671 0 0 0 0 0 0 0 0 0.14501002569504 -0.145010025695046 0 0 0 0 0 0 0 0 -1.3085450279337e-20 -2.52331809856258e-21 0 0 0 0 0 0 0 0
1792	3.024	3.0189375 3.0189375 0 0 0 0 0 0 0 0 8.1429068146912 -8.14290681469121 0 0 0 0 0 0 0 0 0.177422888538768 -0.177422888538773 0 0 0 0 0 0 0 0 -1.29119559928657e-20 4.73154533509918e-21 0 0 0 0 0 0 0 0
2048	3.456	3.4509375 3.4509375 0 0 0 0 0 0 0 0 8.14230815413594 -8.14230815413595 0 0 0 0 0 0 0 0 0.210088673720599 -0.210088673720605 0 0 0 0 0 0 0 0 -1.87406010721578e-20 2.19852740968409e-21 0 0 0 0 0 0 0 0
2304	3.888	3.8829375 3.8829375 0 0 0 0 0 0 0 0 8.14161204558341 -8.14161204558341 0 0 0 0 0 0 0 0 0.242894085391649 -0.242894085391655 0 0 0 0 0 0 0 0 -2.88423694263149e-20 -5.71396914813126e-21 0 0 0 0 0 0 0 0
2560	4.32	4.3149375 4.3149375 0 0 0 0 0 0 0 0 8.14082182363619 -8.1408218236362 0 0 0 0 0 0 0 0 0.275743625316357 -0.275743625316363 0 0 0 0 0 0 0 0 -3.21485414126566e-20 8.06809132993944e-21 0 0 0 0 0 0 0 0
2816	4.752	4.7469375 4.7469375 0 0 0 0 0 0 0 0 8.13993758860844 -8.13993758860845 0 0 0 0 0 0 0 0 0.308578516482939 -0.308578516482945 0 0 0 0 0 0 0 0 -3.23633535853424e-20 1.21189626981024e-20 0 0 0 0 0 0 0 0
3072	5.184	5.1789375 5.1789375 0 0 0 0 0 0 0 0 8.13895809060005 -8.13895809060005 0 0 0 0 0 0 0 0 0.341371295910941 -0.341371295910946 0 0 0 0 0 0 0 0 -3.24376898851092e-20 1.82517275623156e-20 0 0 0 0 0 0 0 0
