# Scalar ASCII output created by CarpetIOScalar
# created on nid22248 by elihu on Apr 24 2017 at 19:17:53-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0000/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
# Run ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 2.03886504762231e-07 4.06303033398366e-07 2.05569627443669e-07
256 0.432 2.03886504762231e-07 4.06303033398366e-07 2.05569627443669e-07
512 0.864 2.03886504762231e-07 4.06303033398366e-07 2.05569627443669e-07
768 1.296 2.03886504762231e-07 4.06303032676721e-07 2.05569627331722e-07
1024 1.728 2.03886504762231e-07 4.06303032676721e-07 2.05569627331722e-07
1280 2.16 2.03886504762231e-07 4.06303032676721e-07 2.05569627331722e-07
1536 2.592 0.0977670665676012 0.0977651519938326 3.63828854336743e-07
1792 3.024 0.109957719551155 0.109879133742634 0.0866872578863839
2048 3.456 0.115587350640258 0.115585342812291 0.115583010512546
2304 3.888 0.0977670665676012 0.0977651519938326 0.0783562728160725
2560 4.32 0.115579873815901 0.115578000627201 0.115547058351622
2816 4.752 0.115587350640258 0.115585342812291 0.115583010512546
3072 5.184 0.0977670665676012 0.0977651519938326 0.0866592591217743
3328 5.616 0.115579873815901 0.115578000627201 0.115547058351622
3584 6.048 0.115587350640258 0.115585342812291 0.115583010512546
3840 6.48 0.0977670665676012 0.0977651519938326 0.0866592591217743
4096 6.912 0.115579873815901 0.115578000627201 0.115547058351622
4352 7.344 0.115587350640258 0.115585342812291 0.115583010512546
4608 7.776 0.11558053419848 0.115579077887992 0.115545678659771
4864 8.208 0.115585734247504 0.11558301041331 0.11558127400648
5120 8.64 0.115587350640258 0.129899965206832 0.115583010512546
5376 9.072 0.115585654188678 0.115582972142096 0.115580390647511
5632 9.504 0.115585734247504 0.11558301041331 0.11558127400648
5888 9.936 0.115587350640258 0.129899965206832 0.115583010512546
6144 10.368 0.115588005277981 0.115586218563175 0.11558354765767
6400 10.8 0.115585734247504 0.11558301041331 0.11558127400648
6656 11.232 0.115587350640258 0.129899965206832 0.115583010512546
6912 11.664 0.115588005277981 0.115586218563175 0.11558354765767
7168 12.096 0.115585734247504 0.11558301041331 0.11558127400648
7424 12.528 34996032714.8434 34996032714.8434 34996032714.8434
7680 12.96 23330688476.5621 23330688476.5621 23330688476.5646
7936 13.392 0.115586218127904 0.115583547171575 0.115581493724357
8192 13.824 34996032714.8434 34996032714.8434 34996032714.8434
8448 14.256 23330688476.5621 23330688476.5621 23330688476.5646
8704 14.688 0.115586218127904 0.115583547171575 0.115581493724357
8960 15.12 34996032714.8434 34996032714.8434 34996032714.8434
9216 15.552 93322753906.2493 93322753906.251 93322753906.2519
9472 15.984 93322753906.2489 93322753906.25 93322753906.2526
9728 16.416 34996032714.8434 34996032714.8434 34996032714.8434
9984 16.848 93322753906.2493 93322753906.251 93322753906.2519
10240 17.28 93322753906.2489 93322753906.25 93322753906.2526
10496 17.712 93322753906.2494 93322753906.2524 69992065429.6852
10752 18.144 93322753906.2493 93322753906.251 93322753906.2595
11008 18.576 93322753906.25 93322753906.25 93322753906.2526
11264 19.008 93322753906.2494 93322753906.2524 69992065429.6852
11520 19.44 93322753906.2518 93322753906.251 93322753906.2595
11776 19.872 93322753906.251 93322753906.2506 93322753906.2526
12032 20.304 93322753906.2494 93322753906.2524 93322753906.2579
12288 20.736 100372314453.133 100372314453.123 105911254882.823
12544 21.168 93322753906.25 93322753906.2504 93322753906.2526
12800 21.6 93322753906.25 93322753906.2524 93322753906.2579
13056 22.032 100372314453.133 100372314453.123 105911254882.823
13312 22.464 96679687499.9989 96679687499.9989 96679687499.9989
13568 22.896 93322753906.25 93322753906.2524 93322753906.2579
13824 23.328 100372314453.133 100372314453.123 105911254882.823
14080 23.76 96679687499.9989 96679687499.9989 96679687499.9989
14336 24.192 93322753906.25 93322753906.2524 93322753906.2579
14592 24.624 100372314453.133 100372314453.123 105911254882.823
14848 25.056 126462447928.819 126462447928.817 123700806760.269
15104 25.488 138122572802.903 138122572802.901 132829427229.852
15360 25.92 100372314453.133 100372314453.123 105911254882.823
