# Scalar ASCII output created by CarpetIOScalar
# created on nid14400 by elihu on Apr 29 2017 at 08:18:25-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0009/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid14400-elihu-2017.04.29-13.15.06-4146
# Run ID: run-J0040_N40-nid14400-elihu-2017.04.29-13.15.06-4146
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
603136 1017.792 0 0 0
603392 1018.224 0 0 0
603648 1018.656 1.00808704363669e-09 1.44942701067919e-09 1.70615344071862e-11
603904 1019.088 4.22670888651666e-07 4.3394515688485e-07 1.0176197719171e-07
604160 1019.52 1.1182154014167e-06 1.11896715313794e-06 9.20423620513992e-07
604416 1019.952 1.45436787247525e-06 1.48691038839338e-06 1.44276989371908e-06
604672 1020.384 1.51396869474008e-06 1.85344904013092e-06 1.51621930817424e-06
604928 1020.816 1.89114734861146e-06 2.15156488507086e-06 1.98757988569495e-06
605184 1021.248 6027724.5167765 6027724.5167765 6027724.5167765
605440 1021.68 6781190.08137356 6781190.08137356 4520793.38758396
605696 1022.112 2.30913172788494e-06 2.51137511241758e-06 2.51602937704811e-06
605952 1022.544 6027724.51678562 6027724.51678562 6027724.51678562
606208 1022.976 9711098.81134372 9711098.81134372 6573546.07424021
606464 1023.408 1621236.43207562 2647468.00733598 2647468.00733598
606720 1023.84 8164898.85318969 8480706.83494188 8480706.83494188
606976 1024.272 9392267.89281281 9392267.89281281 6465484.49258433
607232 1024.704 16972855.8398103 17169591.6353197 17169642.1646491
607488 1025.136 20686650.4135267 20813320.7458351 20813320.7458351
607744 1025.568 9500113.21529063 9534857.36476738 6670929.35943041
608000 1026 17129041.1525104 17313461.7344628 17313536.0402942
608256 1026.432 21058563.4676728 21128091.3693422 21090161.503919
608512 1026.864 10150928.9907908 10241448.6578048 7508102.43638631
608768 1027.296 25509884.3576872 25605176.3854832 25605629.8220711
609024 1027.728 29619268.9363001 29689443.5764965 29638092.2912132
609280 1028.16 10763630.9758756 10968548.846878 8479010.07211982
609536 1028.592 33572869.0002936 33736500.2902166 33737001.5809978
609792 1029.024 38272967.2373245 38327507.5931458 38287876.0585918
610048 1029.456 11812073.2646403 12096182.2325826 9898164.58016466
610304 1029.888 33772906.913179 33909478.2989893 33901055.5901125
610560 1030.32 38450004.3117164 38490593.1463362 38441501.9742188
610816 1030.752 12206717.523363 12473236.2541018 10403782.6277771
611072 1031.184 40240368.2843647 40349113.7655159 40338385.6956821
611328 1031.616 45403828.680284 45436690.4873516 45395980.9699736
611584 1032.048 12449826.9719057 12790124.8995811 11002934.4719993
611840 1032.48 44788668.4382231 44874062.448972 45640185.6895141
612096 1032.912 50428805.6985256 49709885.6189968 51297959.1300774
612352 1033.344 13410008.0912594 13724800.3343755 12190251.5988708
612608 1033.776 44919208.6532744 44941730.6530173 45705935.3571554
612864 1034.208 50666367.3409077 49948703.6671991 51562779.1000478
613120 1034.64 14426191.4736918 14637507.992315 13283794.5977698
613376 1035.072 49010476.8421451 49040095.9781879 50444340.6241734
613632 1035.504 55227026.2612682 53899308.2459859 56835102.7665783
613888 1035.936 14804803.3771383 14931128.0734224 13563324.1344762
614144 1036.368 49345944.6940077 49362096.9797573 50727248.8737711
614400 1036.8 54974813.4850975 53628411.9554783 56490576.479622
614656 1037.232 16739906.9858715 16950640.3218148 15907029.6218711
614912 1037.664 49186468.1989151 49240911.6660647 50526525.6517767
615168 1038.096 55030011.7423211 53726140.9241749 56575498.5035961
615424 1038.528 17517156.4345748 17817587.0737099 16893204.3588524
615680 1038.96 49543202.3954775 49602005.3136449 50879185.705716
615936 1039.392 55093549.1846367 53796681.6128652 56647200.3816697
616192 1039.824 18745776.2340956 18975689.9116099 18120654.9793752
616448 1040.256 49544135.3152982 49595025.6168642 50873691.1086451
616704 1040.688 54544543.5115135 53225961.2866678 56040704.769145
616960 1041.12 18777264.2539396 19010813.9362559 18294493.493422
617216 1041.552 49620373.4155692 49880367.8509935 50877454.5950434
617472 1041.984 54762079.713933 53452035.4641364 56065415.5801236
617728 1042.416 18771192.7500148 18917827.2197192 18205287.9108109
617984 1042.848 49844168.3391457 50093508.0538609 50877810.168436
618240 1043.28 45733980.7869248 45359953.9395639 47755619.0573238
618496 1043.712 19227157.415856 19337427.8852992 18646265.1936509
618752 1044.144 42658415.0389287 42979668.0610203 44406483.9782302
619008 1044.576 45691845.7377482 45231985.1373166 47549791.5897176
619264 1045.008 20275103.4295842 20365953.4725153 19809616.5081395
619520 1045.44 43147950.6116796 43465727.3992897 44880654.8141749
619776 1045.872 45615441.7063568 45179808.3901212 47532562.2625166
620032 1046.304 20211406.2680154 20259587.2491339 19750521.1040235
620288 1046.736 43027205.7415931 43379093.581318 44797710.4203201
620544 1047.168 45347928.5389125 44896449.8081533 47212097.5727953
620800 1047.6 19839538.6010197 19907376.3919277 19592194.7034793
621056 1048.032 42829801.3532233 43198634.5063356 44558966.6180713
621312 1048.464 45285229.5207649 44873105.1904058 47195162.2136444
621568 1048.896 19864730.6380854 20034673.4477636 19735593.2366993
621824 1049.328 42647157.2875982 43013733.504935 44395834.1445057
622080 1049.76 44493800.0954988 44086073.4326249 46371452.41352
622336 1050.192 19824975.0332713 20093942.6557252 19917009.9139824
622592 1050.624 42335930.4011609 42698392.8653899 44030065.4646739
622848 1051.056 44448091.8317614 44028480.6753837 46320327.4423781
623104 1051.488 19740573.600501 20031654.4523995 19873844.0243518
623360 1051.92 42230909.2832357 42605522.0065313 43942742.2386375
623616 1052.352 44126063.6864469 43704400.4054416 45957797.9725
623872 1052.784 19415626.7702442 19728448.8610435 19685263.434656
624128 1053.216 42041087.4316155 42436718.8224797 43716421.7318433
624384 1053.648 44012722.7024416 43603044.476688 45863948.2676254
624640 1054.08 19220977.110854 19560404.1631298 19509883.9200863
624896 1054.512 41937942.6026434 42346142.2343709 43627369.9501541
625152 1054.944 43616070.0178369 43196468.8346755 45407181.0866192
625408 1055.376 20426160.7903167 20755860.7929153 20815220.0586157
625664 1055.808 41362473.2370532 41785036.8960897 43040352.1277839
625920 1056.24 43353608.5531707 42937863.7838548 45166527.2150876
626176 1056.672 20193311.7506201 20571433.9178817 20692136.1884182
626432 1057.104 41238884.8321935 41680481.5911184 42859916.2786404
626688 1057.536 43193523.8433944 42772968.2533402 44929551.1303249
626944 1057.968 19734953.4662107 20109393.9171393 20370455.876869
627200 1058.4 41110731.8426614 41563097.537631 42753130.7764732
627456 1058.832 43049515.4427577 42632371.4668748 44783182.444998
627712 1059.264 19636342.5756341 20023050.0354588 20274191.3022323
627968 1059.696 40907426.7730301 41363300.4290244 42487692.7404602
628224 1060.128 42799278.969591 42349127.4181383 44411104.6024828
628480 1060.56 19424124.7207341 19825429.2798821 20151280.9138053
628736 1060.992 40768687.4338593 41201128.0048865 42343770.4614438
628992 1061.424 42656549.9513093 42226708.3323211 44270561.0323825
629248 1061.856 19280248.1189395 19682669.561043 19952860.7253333
629504 1062.288 40525260.5583533 40970809.5901607 42038732.764444
629760 1062.72 42404135.8288094 41957614.0663529 43922445.6202919
630016 1063.152 19182735.0234697 19485573.3369435 19718747.7742119
630272 1063.584 40521185.8694342 40910412.5873362 41974678.6478486
630528 1064.016 42089890.0258053 41621322.4230555 43516840.1166646
630784 1064.448 19111976.0194997 19318657.6344482 19548553.9471526
631040 1064.88 40337786.6345982 40673646.4525777 41660203.940115
631296 1065.312 41975919.9725242 41507772.2966543 43402984.5373932
631552 1065.744 18847119.4183091 19020836.2277608 19254340.7662336
631808 1066.176 40139337.5049917 40464186.1687525 41369423.62882
632064 1066.608 41637232.4109123 41125444.3776352 42949130.4564552
632320 1067.04 18301062.8811474 18332082.9448953 18559323.4002515
632576 1067.472 39867616.4792229 40173147.878967 41100653.6460666
632832 1067.904 41337644.1457651 40806032.9361085 42551849.8239955
633088 1068.336 18092644.188802 18107665.0871373 18322732.7264085
633344 1068.768 39500699.5318708 39784025.0089327 40646542.1048526
633600 1069.2 41240909.9745389 40702831.0210421 42454474.6628333
633856 1069.632 17936993.6537282 17929768.1692933 18136728.3082344
634112 1070.064 39251764.5210242 39532586.5517439 40324844.8657933
634368 1070.496 40872754.6394941 40312481.0275363 42010356.7428962
634624 1070.928 17830668.3935377 17821948.9479445 17999583.8659403
634880 1071.36 39116333.1334942 39400694.6212558 40207949.7276615
635136 1071.792 40555919.5817977 39969708.980058 41599165.4781729
635392 1072.224 17684238.5868017 17664277.1305489 17808137.0153827
635648 1072.656 38898140.5623347 39157668.0062661 39893713.7306489
635904 1073.088 40480394.0461871 39882246.8098936 41520186.095065
636160 1073.52 17466778.7663018 17420812.2388854 17547668.0701913
636416 1073.952 38658711.1213497 38915999.5297582 39569590.1954414
636672 1074.384 40140273.1537287 39521750.772524 41098292.6303998
636928 1074.816 17360229.8449929 17305530.8869656 17431199.6142723
637184 1075.248 38507645.5791968 38756452.7136467 39432317.8110383
637440 1075.68 40071568.7206801 39432276.2452241 41023187.8636807
637696 1076.112 17208737.4594641 17140311.6702411 17269752.2281424
637952 1076.544 38266583.3347967 38510889.848259 39112029.0181488
638208 1076.976 39786677.2583213 39122098.1928169 40641145.114776
638464 1077.408 16943326.7862709 16860265.5814162 16987853.1218095
638720 1077.84 38007887.363336 38253207.598951 38780710.504437
638976 1078.272 39464404.1511312 38778850.478207 40236731.1586535
639232 1078.704 16809947.24805 16721693.2751259 16851743.1842429
639488 1079.136 37846691.0279957 38091169.7567349 38639858.0872435
639744 1079.568 39166921.1354213 38448147.1884102 39853280.1212665
640000 1080 16645281.6917393 16557675.9266319 16693476.385856
640256 1080.432 37579349.3113556 37821688.6467127 38309015.5191327
640512 1080.864 39114524.01273 38386046.1441087 39800771.8745825
640768 1081.296 16357351.1991289 16252260.8076186 16396360.9881044
641024 1081.728 37233263.7644757 37470431.3068797 37936198.8644232
641280 1082.16 38731215.1268224 37979103.6384442 39405102.5257861
641536 1082.592 16195003.5722591 16088779.4549288 16261648.4930328
641792 1083.024 37169970.5109592 37412990.3935833 37882317.6719809
642048 1083.456 38868243.6249113 38124922.1976626 39539490.2614739
642304 1083.888 16253016.2824908 16148134.1844036 16315471.2614164
642560 1084.32 37263552.6002826 37509958.2171275 38005025.9456846
642816 1084.752 38855414.9298357 38111253.8382975 39530343.7814524
643072 1085.184 16270717.2822108 16177323.8077326 16327913.1328159
643328 1085.616 37281109.305118 37530860.4379845 38025400.1689669
643584 1086.048 38862060.102292 38116886.7854126 39533346.8893951
643840 1086.48 16320911.6768645 16244217.7244209 16379070.3506754
644096 1086.912 37301261.5792973 37554074.2851706 38045347.6474185
644352 1087.344 38864238.2572937 38117857.2738516 39529911.6659266
644608 1087.776 16284296.359873 16210724.9237601 16335207.6793666
644864 1088.208 37317325.9480855 37573342.4888848 38058942.7475924
645120 1088.64 38556282.4173427 37796971.7234282 39298821.6444915
645376 1089.072 15225614.1416664 15218501.5676456 15327525.9542837
645632 1089.504 36646466.4653347 inf 37600677.4159278
645888 1089.936 38502218.9091468 37754279.0231413 39344858.1848057
646144 1090.368 15222837.3543452 15315242.6567901 15270475.6166809
646400 1090.8 36484050.2788835 inf 37470153.5654461
646656 1091.232 38443239.2927798 37707418.8450832 39312278.0375795
646912 1091.664 15068174.8226111 15162555.3991974 15034301.4168251
647168 1092.096 36426298.3378258 inf 37433045.3212552
647424 1092.528 38404578.8677543 37676713.9296757 39291820.5498961
647680 1092.96 15098243.1930278 15184714.6058992 14987181.730078
647936 1093.392 36390779.6706194 inf inf
648192 1093.824 38324652.6055785 inf inf
648448 1094.256 15015362.0067443 inf 7.74888192136292e+147
648704 1094.688 36258946.1740886 inf -nan
648960 1095.12 38286640.4113863 inf inf
649216 1095.552 14823358.5541636 inf 7.74888192138301e+147
649472 1095.984 36219528.1166995 inf -nan
649728 1096.416 38241256.6670911 inf inf
649984 1096.848 -nan inf 15043651.0914167
650240 1097.28 36129336.7464104 inf -nan
650496 1097.712 38146454.3037404 inf inf
650752 1098.144 -nan inf 14799956.6853943
651008 1098.576 36004055.7076005 inf inf
651264 1099.008 38140011.619535 inf 39341138.8491489
651520 1099.44 -nan inf 14607598.4038893
651776 1099.872 35795785.8760034 inf -nan
652032 1100.304 38126632.9708887 inf -nan
652288 1100.736 -nan inf 14305368.5528802
652544 1101.168 35758141.4951579 inf -nan
652800 1101.6 38106482.4189384 inf -nan
653056 1102.032 -nan -nan 14185076.9969852
653312 1102.464 35661205.5436964 -nan -nan
653568 1102.896 38018291.2546214 inf -nan
653824 1103.328 -nan -nan -nan
654080 1103.76 35560523.6312663 -nan -nan
654336 1104.192 37974910.3055805 inf 39211273.291315
654592 1104.624 -nan -nan -nan
654848 1105.056 35499527.3634615 -nan -nan
